Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2025-02-07,OKC,,TOR,W 121-109,*,29,5,12,.417,1,6,.167,14,14,1.000,1,3,4,6,1,0,2,1,25,23.0,15
2025-02-05,OKC,,PHO,W 140-109,*,34,18,29,.621,3,7,.429,11,12,.917,2,6,8,5,2,1,1,3,50,43.7,42
2025-02-03,OKC,,MIL,W 125-96,*,22,15,19,.789,2,3,.667,2,3,.667,0,3,3,6,0,0,3,1,34,28.0,34
2025-02-01,OKC,,SAC,W 144-110,*,30,10,20,.500,1,6,.167,8,10,.800,3,3,6,9,0,2,4,2,29,24.1,17
2025-01-29,OKC,@,GSW,L 109-116,*,39,16,29,.552,2,6,.333,18,21,.857,0,3,3,4,1,0,3,4,52,37.0,+1
