Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2024-11-16,BOS,,TOR,W 126-123 (OT),*,42,7,19,.368,5,12,.417,5,5,1.000,0,11,11,9,0,0,2,3,24,19.9,1
2024-11-13,BOS,@,BRK,W 139-114,*,35,12,19,.632,5,6,.833,7,9,.778,1,8,9,10,0,0,1,3,36,34.6,24
2024-11-12,BOS,,ATL,L 116-117,*,37,5,16,.313,2,9,.222,8,8,1.000,0,6,6,8,1,2,5,3,20,14.4,4
2024-11-10,BOS,@,MIL,W 113-107,*,40,7,21,.333,4,12,.333,13,15,.867,0,12,12,6,0,0,5,3,31,19.9,9
2024-11-08,BOS,,BRK,W 108-104 (OT),*,42,11,25,.440,5,13,.385,6,7,.857,0,9,9,6,2,1,3,3,33,24.9,10
