Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2020-21,20,PHI,NBA,SG,61,8,15.3,3.2,7.0,.462,0.5,1.7,.301,2.7,5.3,.512,.498,1.0,1.1,.871,0.2,1.5,1.7,2.0,0.4,0.2,0.7,1.3,8.0,
2021-22,21,PHI,NBA,PG,75,74,35.3,6.4,13.3,.485,1.8,4.1,.427,4.7,9.1,.512,.552,2.8,3.3,.866,0.3,2.9,3.2,4.3,0.7,0.4,1.2,2.1,17.5,
2022-23,22,PHI,NBA,SG,60,41,33.6,7.3,15.2,.481,2.7,6.2,.434,4.7,9.1,.513,.568,3.0,3.6,.845,0.4,2.6,2.9,3.5,0.8,0.1,1.3,2.2,20.3,
2023-24,23,PHI,NBA,PG,70,70,37.5,9.1,20.3,.450,3.0,8.1,.373,6.1,12.1,.501,.524,4.7,5.4,.868,0.5,3.2,3.7,6.2,1.0,0.5,1.7,2.2,25.9,MIP-1AS
2024-25,24,PHI,NBA,PG,7,7,39.7,9.6,23.6,.406,3.1,11.0,.286,6.4,12.6,.511,.473,5.3,6.4,.822,0.0,3.0,3.0,3.9,1.4,0.6,2.0,2.9,27.6,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,273,200,31.2,6.7,14.4,.465,2.0,5.2,.390,4.6,9.1,.508,.536,3.0,3.5,.860,0.4,2.6,2.9,4.1,0.8,0.3,1.2,2.0,18.4,
