Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2021-22,23,LAL,NBA,SG,61,19,23.2,2.4,5.2,.459,0.9,2.7,.317,1.5,2.5,.616,.542,1.6,1.9,.839,0.7,2.4,3.2,1.8,0.5,0.3,0.7,1.4,7.3,
2022-23,24,LAL,NBA,SG,64,22,28.8,4.0,7.7,.529,1.3,3.4,.398,2.7,4.3,.631,.616,3.6,4.1,.864,0.5,2.5,3.0,3.4,0.5,0.3,1.5,1.7,13.0,6MOY-7
2023-24,25,LAL,NBA,SG,82,57,32.1,5.6,11.5,.486,1.9,5.1,.367,3.7,6.3,.583,.568,2.8,3.3,.853,0.7,3.6,4.3,5.5,0.8,0.3,2.1,1.9,15.9,
2024-25,26,LAL,NBA,SG,13,13,34.8,6.2,13.6,.452,2.8,7.8,.363,3.3,5.8,.573,.556,2.8,3.6,.787,0.8,3.2,4.0,5.5,1.2,0.3,2.0,2.7,18.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,220,111,28.8,4.3,8.8,.489,1.5,4.1,.365,2.8,4.6,.600,.575,2.7,3.2,.850,0.7,2.9,3.6,3.8,0.7,0.3,1.5,1.7,12.8,
