Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
32,485,33,2024-12-30,10001,1,20004,W 126-106,*,41:17,7,15,0.467,4,8,0.5,3,7,0.429,0.6,5,7,0.714,4,11,15,10,2,0,1,4,23,27.0,25
33,486,34,2025-01-01,10001,0,84101,W 119-103,*,45:08,6,12,0.5,1,4,0.25,5,8,0.625,0.542,2,3,0.667,2,12,14,12,1,1,7,4,15,15.1,15
34,487,35,2025-01-03,10001,1,73102,L 107-117,*,44:14,8,15,0.533,2,7,0.286,6,8,0.75,0.6,1,2,0.5,3,4,7,2,1,1,2,4,19,14.1,-12
35,488,36,2025-01-04,10001,1,60612,L 126-139,*,40:23,0,5,0.0,0,3,0.0,0,2,0.0,0.0,2,2,1.0,3,13,16,10,1,0,2,3,2,9.3,-14
36,489,37,2025-01-06,10001,0,32801,L 94-103,*,41:43,5,9,0.556,1,3,0.333,4,6,0.667,0.611,4,4,1.0,3,11,14,2,2,1,1,2,15,18.4,-8
37,490,38,2025-01-08,10001,0,51300,W 112-98,*,38:22,9,14,0.643,2,5,0.4,7,9,0.778,0.714,1,2,0.5,6,5,11,7,1,0,1,4,21,23.4,19
38,491,39,2025-01-10,10001,0,73102,L 101-126,*,30:28,6,13,0.462,0,1,0.0,6,12,0.5,0.462,4,4,1.0,6,7,13,2,3,0,1,2,16,18.2,-23
39,492,40,2025-01-12,10001,0,53203,W 140-106,*,35:21,5,5,1.0,1,1,1.0,4,4,1.0,1.1,0,0,,2,9,11,4,1,0,3,4,11,12.8,24
40,493,41,2025-01-13,10001,0,48226,L 119-124,*,37:52,3,5,0.6,1,2,0.5,2,3,0.667,0.7,5,6,0.833,3,11,14,5,0,0,1,4,12,15.6,6
41,494,42,2025-01-15,10001,1,19148,W 125-119 (OT),*,49:25,4,9,0.444,0,3,0.0,4,6,0.667,0.444,2,3,0.667,5,12,17,12,4,0,3,3,10,20.2,10
42,495,43,2025-01-17,10001,0,55403,L 99-116,*,38:07,3,12,0.25,1,5,0.2,2,7,0.286,0.292,5,6,0.833,2,7,9,0,3,0,3,4,12,6.3,-24
43,496,44,2025-01-20,10001,0,30313,W 119-110,*,37:13,7,12,0.583,0,1,0.0,7,11,0.636,0.583,0,0,,4,5,9,5,2,0,2,4,14,14.6,-3
44,497,45,2025-01-21,10001,1,11217,W 99-95,*,38:54,3,5,0.6,1,2,0.5,2,3,0.667,0.7,0,0,,1,11,12,9,2,0,2,2,7,14.2,-3
45,498,46,2025-01-25,10001,0,95814,W 143-120,*,39:43,8,14,0.571,1,2,0.5,7,12,0.583,0.607,3,3,1.0,7,11,18,11,1,2,3,3,20,27.5,17
46,499,47,2025-01-27,10001,0,38103,W 143-106,*,26:30,2,6,0.333,0,3,0.0,2,3,0.667,0.333,0,0,,2,8,10,5,1,0,0,2,4,8.1,18
47,500,48,2025-01-29,10001,0,80204,W 122-112,*,34:00,7,12,0.583,0,2,0.0,7,10,0.7,0.583,1,2,0.5,0,5,5,5,3,0,0,1,15,16.6,11
48,501,49,2025-02-01,10001,0,90015,L 112-128,*,38:12,11,16,0.688,1,5,0.2,10,11,0.909,0.719,3,4,0.75,4,9,13,11,2,0,2,1,26,31.6,-20
49,502,50,2025-02-03,10001,0,77002,W 124-118,*,40:04,8,12,0.667,0,1,0.0,8,11,0.727,0.667,3,3,1.0,2,6,8,5,1,1,4,2,19,17.4,-2
50,503,51,2025-02-04,10001,1,51300,W 121-115,*,36:40,7,17,0.412,1,4,0.25,6,13,0.462,0.441,0,0,,1,6,7,6,1,0,0,2,15,12.8,3
51,504,52,2025-02-08,10001,0,02114,L 104-131,*,38:12,7,16,0.438,1,3,0.333,6,13,0.462,0.469,2,4,0.5,1,7,8,3,2,0,3,3,17,10.5,-31
