Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
74,259.0,74,2024-03-30,02114,1,70112,W 104-92,,17:05,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,,2,1,3,0,0,0,1,1,2,0.6,3
75,260.0,75,2024-04-01,02114,1,28202,W 118-104,,27:55,3,7,.429,0,4,.000,3,3,1.000,.429,1,2,.500,1,2,3,5,0,0,1,4,7,5.1,6
76,261.0,76,2024-04-03,02114,0,73102,W 135-100,,27:47,4,10,.400,1,4,.250,3,6,.500,.450,2,2,1.000,1,3,4,8,2,0,0,0,11,14.8,23
77,262.0,77,2024-04-05,02114,0,95814,W 101-100,,33:25,8,16,.500,5,10,.500,3,6,.500,.656,0,0,,1,0,1,3,2,0,1,3,21,15.6,2
78,263.0,78,2024-04-07,02114,0,97227,W 124-107,,25:44,9,13,.692,2,4,.500,7,9,.778,.769,0,0,,0,3,3,8,1,0,2,1,20,19.6,19
79,264.0,79,2024-04-09,02114,1,53203,L 91-104,,23:38,2,9,.222,2,8,.250,0,1,.000,.333,0,0,,0,2,2,3,1,0,1,0,6,3.2,1
80,265.0,80,2024-04-11,02114,0,10001,L 109-118,,20:50,7,13,.538,2,4,.500,5,9,.556,.615,0,0,,2,2,4,6,0,0,0,0,16,15.9,22
81,266.0,81,2024-04-12,02114,0,28202,W 131-98,*,30:52,14,22,.636,3,8,.375,11,14,.786,.705,0,0,,0,3,3,11,1,0,2,2,31,28.0,15
82,267.0,82,2024-04-14,02114,0,20004,W 132-122,*,43:43,15,21,.714,4,6,.667,11,15,.733,.810,4,4,1.000,1,8,9,12,0,0,2,3,38,37.6,13
1,268.0,1,2024-10-22,02114,0,10001,W 132-109,,24:58,1,10,.100,1,9,.111,0,1,.000,.150,0,0,,1,3,4,4,0,0,1,2,3,-1.0,7
2,269.0,2,2024-10-24,02114,1,20004,W 122-102,,27:57,5,11,.455,5,10,.500,0,1,.000,.682,0,0,,0,1,1,2,0,0,0,1,15,10.6,11
3,270.0,3,2024-10-26,02114,1,48226,W 124-118,,19:17,5,8,.625,5,7,.714,0,1,.000,.938,4,4,1.000,0,2,2,0,1,0,0,1,19,16.6,-5
4,271.0,4,2024-10-28,02114,0,53203,W 119-108,,27:41,10,14,.714,8,12,.667,2,2,1.000,1.000,0,0,,2,3,5,3,2,0,2,2,28,25.8,12
5,272.0,5,2024-10-30,02114,1,46225,L 132-135 (OT),,38:34,5,14,.357,4,11,.364,1,3,.333,.500,2,2,1.000,2,2,4,4,1,0,1,2,16,12.2,8
6,273.0,6,2024-11-01,02114,1,28202,W 124-109,,27:50,1,6,.167,0,5,.000,1,1,1.000,.167,5,6,.833,0,2,2,3,5,0,1,0,7,9.5,13
7,274.0,7,2024-11-02,02114,1,28202,W 113-103,,29:06,8,15,.533,6,12,.500,2,3,.667,.733,0,0,,1,2,3,2,0,0,1,3,22,15.2,7
8,275.0,8,2024-11-04,02114,1,30313,W 123-93,,25:29,7,12,.583,3,8,.375,4,4,1.000,.708,1,1,1.000,0,3,3,4,1,0,3,1,18,13.7,21
9,276.0,9,2024-11-06,02114,0,94607,L 112-118,,32:10,5,13,.385,3,11,.273,2,2,1.000,.500,3,3,1.000,2,1,3,3,0,0,2,4,16,9.1,-8
10,277.0,10,2024-11-08,02114,0,11217,W 108-104 (OT),,33:38,6,11,.545,3,7,.429,3,4,.750,.682,5,5,1.000,0,1,1,0,1,0,1,2,20,14.2,11
11,278.0,11,2024-11-10,02114,1,53203,W 113-107,,22:50,6,10,.600,5,8,.625,1,2,.500,.850,1,1,1.000,1,0,1,3,0,0,3,1,18,12.8,-8
12,279.0,12,2024-11-12,02114,0,30313,L 116-117,,25:17,2,8,.250,2,8,.250,0,0,,.375,0,0,,0,1,1,2,3,0,1,2,6,4.1,-9
13,280.0,13,2024-11-13,02114,1,11217,W 139-114,,36:13,8,13,.615,5,9,.556,3,4,.750,.808,2,4,.500,2,4,6,8,2,1,1,3,23,25.0,14
14,281.0,14,2024-11-16,02114,0,51300,W 126-123 (OT),,23:53,2,8,.250,2,7,.286,0,1,.000,.375,0,0,,0,0,0,1,0,0,0,2,6,1.1,6
15,282.0,15,2024-11-19,02114,0,44115,W 120-117,,25:43,5,9,.556,3,6,.500,2,3,.667,.722,0,0,,1,1,2,3,1,0,0,2,13,12.0,-14
16,283.0,16,2024-11-22,02114,1,20004,W 108-96,,22:33,3,6,.500,1,3,.333,2,3,.667,.583,2,3,.667,1,1,2,4,1,0,0,2,9,9.6,0
17,284.0,17,2024-11-24,02114,0,55403,W 107-105,,22:21,3,7,.429,1,5,.200,2,2,1.000,.500,1,1,1.000,1,3,4,3,0,0,0,2,8,7.2,-3
18,285.0,18,2024-11-25,02114,0,90015,W 126-94,,25:46,7,13,.538,6,10,.600,1,3,.333,.769,0,0,,0,2,2,4,2,0,1,0,20,18.1,30
19,286.0,19,2024-11-29,02114,1,60612,W 138-129,,28:31,10,16,.625,7,11,.636,3,5,.600,.844,2,2,1.000,4,3,7,1,1,0,0,1,29,26.8,11
20,287.0,20,2024-12-01,02114,1,44115,L 111-115,,36:07,7,16,.438,3,10,.300,4,6,.667,.531,7,8,.875,1,6,7,3,0,1,1,2,24,18.7,-11
21,288.0,21,2024-12-02,02114,0,33132,W 108-89,,32:55,10,17,.588,5,12,.417,5,5,1.000,.735,0,0,,1,4,5,4,2,1,1,1,25,23.1,16
22,289.0,22,2024-12-04,02114,0,48226,W 130-120,,34:22,7,15,.467,5,13,.385,2,2,1.000,.633,0,0,,4,1,5,4,1,0,4,3,19,13.0,-1
23,290.0,23,2024-12-06,02114,0,53203,W 111-105,,24:25,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,1,2,3,2,0,0,0,1,0,0.2,-4
24,291.0,24,2024-12-07,02114,0,38103,L 121-127,,29:59,7,12,.583,6,11,.545,1,1,1.000,.833,2,4,.500,2,4,6,2,1,0,1,1,22,19.2,8
25,292.0,25,2024-12-12,02114,0,48226,W 123-99,,31:00,10,20,.500,7,15,.467,3,5,.600,.675,0,0,,0,4,4,10,0,0,1,0,27,24.2,22
26,293.0,26,2024-12-15,02114,1,20004,W 112-98,,36:50,5,12,.417,5,10,.500,0,2,.000,.625,0,0,,4,7,11,6,0,0,3,3,15,13.5,17
27,294.0,27,2024-12-19,02114,0,60612,L 108-117,,30:23,5,12,.417,4,10,.400,1,2,.500,.583,0,0,,4,2,6,3,1,0,0,1,14,13.7,-10
28,295.0,28,2024-12-21,02114,1,60612,W 123-98,,31:40,2,7,.286,2,6,.333,0,1,.000,.429,0,0,,3,1,4,2,2,0,0,1,6,7.3,31
29,296.0,29,2024-12-23,02114,1,32801,L 104-108,,21:06,3,7,.429,1,5,.200,2,2,1.000,.500,0,0,,1,2,3,1,0,0,2,1,7,2.9,-12
30,297.0,30,2024-12-25,02114,0,19148,L 114-118,,33:14,1,9,.111,0,8,.000,1,1,1.000,.111,2,2,1.000,2,1,3,5,0,0,1,2,4,1.5,-12
31,298.0,31,2024-12-27,02114,0,46225,W 142-105,,31:37,7,16,.438,4,10,.400,3,6,.500,.563,0,0,,5,3,8,10,1,1,0,5,18,20.7,25
32,299.0,32,2024-12-29,02114,0,46225,L 114-123,,27:42,7,13,.538,5,8,.625,2,5,.400,.731,2,2,1.000,1,3,4,3,0,0,2,2,21,15.6,-2
33,300.0,33,2024-12-31,02114,0,51300,W 125-71,,22:56,7,13,.538,5,8,.625,2,5,.400,.731,0,0,,1,5,6,4,3,0,2,1,19,18.3,36
34,301.0,34,2025-01-02,02114,1,55403,W 118-115,,24:42,3,8,.375,2,6,.333,1,2,.500,.500,1,2,.500,1,1,2,4,1,0,0,1,9,8.6,5
