Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
35,35,35,2018-12-28,LAC,@,LAL,W 118-107,*,17:23,2,8,.250,1,2,.500,1,6,.167,.313,2,2,1.000,0,1,1,0,1,0,1,3,7,1.3,-1
36,36,36,2018-12-29,LAC,,SAS,L 111-122,*,20:54,2,3,.667,1,1,1.000,1,2,.500,.833,0,0,,0,2,2,1,0,0,1,3,5,2.8,-4
37,37,37,2019-01-01,LAC,,PHI,L 113-119,*,20:07,4,7,.571,0,1,.000,4,6,.667,.571,0,0,,1,1,2,5,2,0,2,5,8,7.2,-6
38,38,38,2019-01-04,LAC,@,PHO,W 121-111,*,18:31,1,6,.167,0,2,.000,1,4,.250,.167,1,2,.500,1,2,3,9,2,0,3,2,3,4.6,6
39,39,39,2019-01-06,LAC,,ORL,W 106-96,*,23:01,6,7,.857,1,1,1.000,5,6,.833,.929,0,0,,0,2,2,2,1,0,1,2,13,11.7,1
40,40,40,2019-01-08,LAC,,CHO,W 128-109,*,21:07,3,6,.500,0,0,,3,6,.500,.500,2,2,1.000,0,3,3,2,3,4,2,2,8,10.3,-9
41,41,41,2019-01-10,LAC,@,DEN,L 100-121,*,20:26,1,4,.250,1,2,.500,0,2,.000,.375,0,0,,0,2,2,1,1,0,3,1,3,-0.5,-21
42,42,42,2019-01-12,LAC,,DET,L 104-109,*,16:52,3,7,.429,0,1,.000,3,6,.500,.429,1,1,1.000,0,1,1,4,1,0,2,2,7,4.6,3
43,43,43,2019-01-14,LAC,,NOP,L 117-121,*,12:59,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,0,0,2,0,1,2,2,0,-2.8,-13
44,44,44,2019-01-16,LAC,,UTA,L 109-129,*,22:04,4,8,.500,0,2,.000,4,6,.667,.500,0,0,,0,1,1,2,0,0,4,1,8,1.3,-19
45,45,45,2019-01-18,LAC,,GSW,L 94-112,*,42:30,7,17,.412,0,3,.000,7,14,.500,.412,10,10,1.000,1,2,3,5,3,0,2,2,24,19.9,-10
46,46,46,2019-01-20,LAC,@,SAS,W 103-95,*,37:40,3,15,.200,1,2,.500,2,13,.154,.233,0,0,,1,3,4,3,0,0,3,3,7,-2.8,-4
47,47,47,2019-01-22,LAC,@,DAL,L 98-106,*,20:22,4,14,.286,0,2,.000,4,12,.333,.286,0,0,,0,1,1,1,0,1,0,1,8,1.1,5
48,48,48,2019-01-23,LAC,@,MIA,W 111-99,*,30:50,5,10,.500,0,1,.000,5,9,.556,.500,0,0,,0,2,2,3,1,0,1,3,10,6.5,1
49,49,49,2019-01-25,LAC,@,CHI,W 106-101,*,21:50,2,6,.333,0,2,.000,2,4,.500,.333,2,3,.667,0,0,0,5,0,0,2,1,6,3.3,-7
50,50,50,2019-01-27,LAC,,SAC,W 122-108,*,31:14,5,9,.556,0,1,.000,5,8,.625,.556,7,7,1.000,2,2,4,5,2,0,1,3,17,18.0,-2
