Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2024-11-15,ATL,,WAS,W 129-117,*,33,5,18,.278,4,9,.444,4,4,1.000,0,2,2,9,0,0,6,3,18,7.1,2
2024-11-09,ATL,,CHI,L 113-125,*,38,6,16,.375,2,6,.333,0,0,,1,2,3,16,0,0,6,2,14,10.9,-6
2024-11-08,ATL,@,DET,L 121-122,*,41,11,25,.440,6,12,.500,7,8,.875,0,2,2,13,2,0,3,2,35,29.4,14
2024-11-06,ATL,,NYK,W 121-116,*,35,7,21,.333,3,9,.333,6,8,.750,2,4,6,10,2,0,2,2,23,19.1,6
2024-11-04,ATL,,BOS,L 93-123,*,23,1,10,.100,0,6,.000,0,0,,0,0,0,6,1,0,3,2,2,-3.2,-28
