Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
59,184,59,2024-02-25,LAL,@,PHO,L 113-123,*,35:26,5,12,.417,2,7,.286,3,5,.600,.500,2,2,1.000,0,4,4,4,1,0,2,1,14,10.2,-10
60,185,60,2024-02-28,LAL,@,LAC,W 116-112,*,35:50,6,11,.545,1,4,.250,5,7,.714,.591,0,0,,1,7,8,5,1,0,1,1,13,13.6,-5
61,186,61,2024-02-29,LAL,,WAS,W 134-131 (OT),*,39:24,6,11,.545,0,2,.000,6,9,.667,.545,0,0,,1,5,6,4,1,1,1,3,12,11.2,2
62,187,62,2024-03-02,LAL,,DEN,L 114-124,*,36:43,7,12,.583,3,6,.500,4,6,.667,.708,2,2,1.000,0,2,2,14,0,0,2,1,19,21.4,-9
63,188,63,2024-03-04,LAL,,OKC,W 116-104,*,29:07,6,8,.750,4,5,.800,2,3,.667,1.000,0,0,,1,5,6,7,1,0,5,1,16,15.5,8
64,189,64,2024-03-06,LAL,,SAC,L 120-130,*,35:45,6,15,.400,4,7,.571,2,8,.250,.533,2,2,1.000,1,3,4,4,0,0,2,2,18,11.5,-4
65,190,65,2024-03-08,LAL,,MIL,W 123-122,*,36:39,7,12,.583,2,5,.400,5,7,.714,.667,2,4,.500,0,5,5,7,1,0,2,1,18,16.6,-1
66,191,66,2024-03-10,LAL,,MIN,W 120-109,*,35:56,7,13,.538,3,6,.500,4,7,.571,.654,2,2,1.000,0,6,6,4,0,0,4,2,19,12.5,10
67,192,67,2024-03-13,LAL,@,SAC,L 107-120,*,37:28,10,17,.588,7,12,.583,3,5,.600,.794,1,2,.500,0,6,6,4,1,0,1,1,28,23.9,-2
68,193,68,2024-03-16,LAL,,GSW,L 121-128,*,34:21,4,13,.308,2,9,.222,2,4,.500,.385,1,1,1.000,0,3,3,3,0,0,3,0,11,3.5,-5
69,194,69,2024-03-18,LAL,,ATL,W 136-105,*,28:17,4,9,.444,0,3,.000,4,6,.667,.444,4,4,1.000,1,5,6,4,1,1,0,3,12,12.8,21
70,195,70,2024-03-22,LAL,,PHI,W 101-94,*,33:06,3,8,.375,2,5,.400,1,3,.333,.500,6,8,.750,1,5,6,5,0,1,3,2,14,11.4,-1
71,196,71,2024-03-24,LAL,,IND,W 150-145,*,37:29,6,13,.462,2,5,.400,4,8,.500,.538,11,12,.917,1,4,5,8,0,1,2,1,25,23.7,4
72,197,72,2024-03-26,LAL,@,MIL,W 128-124 (2OT),*,47:35,10,20,.500,4,11,.364,6,9,.667,.600,5,6,.833,2,12,14,10,0,2,1,3,29,29.8,-2
73,198,73,2024-03-27,LAL,@,MEM,W 136-124,*,35:03,4,12,.333,0,4,.000,4,8,.500,.333,5,5,1.000,1,1,2,11,0,0,2,1,13,12.5,31
74,199,74,2024-03-29,LAL,@,IND,L 90-109,*,36:11,7,16,.438,1,7,.143,6,9,.667,.469,1,1,1.000,1,12,13,6,1,0,5,2,16,11.3,-15
75,200,75,2024-03-31,LAL,@,BRK,W 116-104,*,34:38,5,11,.455,0,4,.000,5,7,.714,.455,2,2,1.000,1,6,7,6,1,0,1,0,12,13.0,26
76,201,76,2024-04-02,LAL,@,TOR,W 128-111,*,25:12,2,9,.222,1,5,.200,1,4,.250,.278,2,2,1.000,1,3,4,6,0,3,1,2,7,7.6,6
77,202,77,2024-04-03,LAL,@,WAS,W 125-120,*,35:02,7,15,.467,2,6,.333,5,9,.556,.533,0,0,,2,2,4,4,2,0,1,1,16,13.7,7
78,203,78,2024-04-06,LAL,,CLE,W 116-97,*,33:29,3,6,.500,1,4,.250,2,2,1.000,.583,0,0,,0,2,2,6,1,0,3,3,7,5.6,-6
79,204,79,2024-04-07,LAL,,MIN,L 117-127,*,35:02,4,14,.286,2,8,.250,2,6,.333,.357,4,6,.667,0,3,3,2,1,0,4,3,14,3.1,-17
80,205,80,2024-04-09,LAL,,GSW,L 120-134,*,34:54,8,15,.533,4,7,.571,4,8,.500,.667,2,3,.667,3,4,7,6,0,0,0,3,22,20.6,0
81,206,81,2024-04-12,LAL,@,MEM,W 123-120,*,25:12,5,8,.625,3,5,.600,2,3,.667,.813,0,1,.000,0,0,0,1,0,2,2,5,13,7.1,-22
82,207,82,2024-04-14,LAL,@,NOP,W 124-108,*,28:34,8,12,.667,3,7,.429,5,5,1.000,.792,1,2,.500,0,1,1,2,1,1,2,2,20,15.0,13
1,208,1,2024-10-22,LAL,,MIN,W 110-103,*,36:02,6,14,.429,0,5,.000,6,9,.667,.429,0,1,.000,4,5,9,4,1,1,0,4,12,11.4,12
2,209,2,2024-10-25,LAL,,PHO,W 123-116,*,36:39,8,12,.667,5,7,.714,3,5,.600,.875,5,6,.833,0,4,4,8,3,1,4,4,26,25.3,13
3,210,3,2024-10-26,LAL,,SAC,W 131-127,*,33:32,7,12,.583,2,4,.500,5,8,.625,.667,0,0,,4,3,7,6,0,0,6,3,16,11.1,-20
4,211,4,2024-10-28,LAL,@,PHO,L 105-109,*,37:51,8,15,.533,5,9,.556,3,6,.500,.700,2,3,.667,0,8,8,3,2,0,1,3,23,19.6,12
5,212,5,2024-10-30,LAL,@,CLE,L 110-134,*,27:50,2,6,.333,1,4,.250,1,2,.500,.417,2,2,1.000,0,2,2,3,0,0,4,0,7,2.3,-14
6,213,6,2024-11-01,LAL,@,TOR,W 131-125,*,34:18,4,13,.308,0,6,.000,4,7,.571,.308,12,14,.857,0,1,1,6,2,1,1,3,20,16.7,-3
7,214,7,2024-11-04,LAL,@,DET,L 103-115,*,39:21,7,17,.412,3,10,.300,4,7,.571,.500,0,1,.000,1,3,4,4,2,0,4,4,17,8.3,-14
8,215,8,2024-11-06,LAL,@,MEM,L 114-131,*,34:56,7,17,.412,2,9,.222,5,8,.625,.471,3,4,.750,0,3,3,5,3,0,1,1,19,15.5,-9
9,216,9,2024-11-08,LAL,,PHI,W 116-106,*,29:56,7,13,.538,6,10,.600,1,3,.333,.769,0,0,,0,6,6,7,0,1,2,1,20,18.7,14
10,217,10,2024-11-10,LAL,,TOR,W 123-103,*,32:35,10,17,.588,3,9,.333,7,8,.875,.676,4,5,.800,0,1,1,6,1,0,0,4,27,22.6,11
11,218,11,2024-11-13,LAL,,MEM,W 128-123,*,35:52,5,14,.357,3,11,.273,2,3,.667,.464,5,7,.714,0,2,2,6,1,0,3,4,18,10.6,-1
12,219,12,2024-11-15,LAL,@,SAS,W 120-115,*,32:04,6,12,.500,5,9,.556,1,3,.333,.708,2,2,1.000,1,2,3,6,0,0,0,3,19,17.3,-8
13,220,13,2024-11-16,LAL,@,NOP,W 104-99,*,40:50,3,15,.200,2,9,.222,1,6,.167,.267,2,2,1.000,1,1,2,7,1,0,0,1,10,7.2,9
14,221,14,2024-11-19,LAL,,UTA,W 124-118,*,33:22,6,14,.429,3,7,.429,3,7,.429,.536,2,2,1.000,0,0,0,5,0,0,3,1,17,9.7,4
15,222,15,2024-11-21,LAL,,ORL,L 118-119,*,32:54,3,12,.250,1,4,.250,2,8,.250,.292,2,5,.400,1,1,2,3,1,0,2,0,9,2.7,-8
