Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2,2021-10-22,LAL,,PHO,L 105-115,,12:00,3,4,.750,2,3,.667,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,1,8,6.0,17
2,2,3,2021-10-24,LAL,,MEM,W 121-118,,17:50,2,3,.667,0,1,.000,2,2,1.000,.667,0,0,,0,0,0,3,0,0,0,1,4,4.4,18
3,3,4,2021-10-26,LAL,@,SAS,W 125-121 (OT),,30:13,3,5,.600,2,4,.500,1,1,1.000,.800,2,2,1.000,0,2,2,1,0,0,2,3,10,5.8,-13
4,4,5,2021-10-27,LAL,@,OKC,L 115-123,,17:46,1,4,.250,0,2,.000,1,2,.500,.250,0,0,,0,2,2,0,0,0,0,0,2,0.2,-5
5,5,6,2021-10-29,LAL,,CLE,W 113-101,,20:54,2,4,.500,1,2,.500,1,2,.500,.625,2,2,1.000,0,3,3,2,0,1,1,3,7,5.8,1
6,6,7,2021-10-31,LAL,,HOU,W 95-85,,20:11,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,2,2,0,0,0,3,2,2,-2.2,5
7,7,8,2021-11-02,LAL,,HOU,W 119-117,,20:48,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,,0,2,2,0,1,1,1,3,2,0.4,2
8,8,9,2021-11-04,LAL,,OKC,L 104-107,,22:08,3,6,.500,2,5,.400,1,1,1.000,.667,0,0,,1,1,2,0,1,0,0,2,8,6.2,0
9,9,10,2021-11-06,LAL,@,POR,L 90-105,,24:33,3,9,.333,2,5,.400,1,4,.250,.444,2,2,1.000,1,5,6,3,0,0,1,1,10,7.8,17
10,10,11,2021-11-08,LAL,,CHO,W 126-123 (OT),,27:00,3,6,.500,0,3,.000,3,3,1.000,.500,2,2,1.000,0,1,1,1,1,0,0,5,8,5.0,3
11,11,22,2021-11-28,LAL,,DET,W 110-106,,05:59,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,2,1,0,-1.7,2
12,12,23,2021-11-30,LAL,@,SAC,W 117-92,,18:13,1,2,.500,0,0,,1,2,.500,.500,1,2,.500,2,3,5,1,0,0,0,0,3,4.6,8
13,13,24,2021-12-03,LAL,,LAC,L 115-119,,08:59,1,3,.333,0,2,.000,1,1,1.000,.333,0,1,.000,0,1,1,1,0,0,0,2,2,0.1,-5
14,14,25,2021-12-07,LAL,,BOS,W 117-102,,03:10,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
15,15,27,2021-12-10,LAL,@,OKC,W 116-95,,27:57,4,7,.571,1,3,.333,3,4,.750,.643,4,4,1.000,1,4,5,2,0,0,1,0,13,12.0,17
16,16,28,2021-12-12,LAL,,ORL,W 106-94,,25:14,1,4,.250,1,2,.500,0,2,.000,.375,2,2,1.000,0,4,4,1,0,0,0,1,5,4.1,-2
17,17,29,2021-12-15,LAL,@,DAL,W 107-104 (OT),,32:13,5,6,.833,5,6,.833,0,0,,1.250,0,0,,0,7,7,2,1,0,1,4,15,14.7,10
18,18,37,2021-12-31,LAL,,POR,W 139-106,,26:38,3,7,.429,1,4,.250,2,3,.667,.500,3,3,1.000,1,0,1,1,1,0,0,2,10,7.9,13
19,19,38,2022-01-02,LAL,,MIN,W 108-103,,22:03,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,4,4,2,0,0,0,0,2,4.3,0
20,20,39,2022-01-04,LAL,,SAC,W 122-114,,21:39,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,2,2,1,0,0,0,1,0,0.2,10
21,21,40,2022-01-07,LAL,,ATL,W 134-118,,18:20,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,,1,0,1,2,2,0,0,2,2,3.6,10
22,22,41,2022-01-09,LAL,,MEM,L 119-127,,22:44,6,8,.750,1,2,.500,5,6,.833,.813,3,4,.750,0,0,0,0,0,1,0,3,16,11.9,7
23,23,42,2022-01-12,LAL,@,SAC,L 116-125,,27:45,7,10,.700,4,7,.571,3,3,1.000,.900,1,1,1.000,2,1,3,0,0,0,0,1,19,16.1,0
24,24,43,2022-01-15,LAL,@,DEN,L 96-133,,26:41,1,5,.200,0,1,.000,1,4,.250,.200,3,4,.750,0,4,4,1,0,0,2,0,5,1.4,-32
25,25,44,2022-01-17,LAL,,UTA,W 101-95,,21:25,2,5,.400,0,2,.000,2,3,.667,.400,0,0,,2,3,5,1,0,0,0,3,4,3.1,13
26,26,45,2022-01-19,LAL,,IND,L 104-111,,24:37,1,5,.200,0,3,.000,1,2,.500,.200,0,0,,1,3,4,2,0,0,2,1,2,-0.5,5
27,27,46,2022-01-21,LAL,@,ORL,W 116-105,,23:09,0,2,.000,0,2,.000,0,0,,.000,5,6,.833,0,3,3,0,1,0,0,1,5,4.7,3
28,28,47,2022-01-23,LAL,@,MIA,L 107-113,,08:50,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,0,0,0,1,0,0,1,0,2,1.0,1
29,29,48,2022-01-25,LAL,@,BRK,W 106-96,,24:47,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,,4,1,5,6,1,1,0,1,2,8.9,13
30,30,49,2022-01-27,LAL,@,PHI,L 87-105,,22:57,0,4,.000,0,3,.000,0,1,.000,.000,0,0,,0,1,1,2,0,1,0,0,0,-0.4,-16
31,31,50,2022-01-28,LAL,@,CHO,L 114-117,,27:55,6,12,.500,2,6,.333,4,6,.667,.583,2,3,.667,2,6,8,3,0,0,0,2,16,14.1,9
32,32,51,2022-01-30,LAL,@,ATL,L 121-129,,25:34,1,3,.333,1,3,.333,0,0,,.500,3,4,.750,0,2,2,2,1,1,0,3,6,6.4,-2
33,33,52,2022-02-02,LAL,,POR,W 99-94,,22:10,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,3,3,0,1,0,1,0,0,-0.5,3
34,34,53,2022-02-03,LAL,@,LAC,L 110-111,,25:20,2,2,1.000,1,1,1.000,1,1,1.000,1.250,0,0,,1,1,2,2,0,1,1,2,5,5.7,6
35,35,54,2022-02-05,LAL,,NYK,W 122-115 (OT),,18:28,2,5,.400,0,2,.000,2,3,.667,.400,5,5,1.000,0,3,3,0,0,1,1,0,9,6.9,5
36,36,55,2022-02-08,LAL,,MIL,L 116-131,,20:04,4,6,.667,2,4,.500,2,2,1.000,.833,0,0,,1,0,1,0,0,0,0,0,10,8.1,-2
37,37,56,2022-02-09,LAL,@,POR,L 105-107,,13:19,2,4,.500,1,2,.500,1,2,.500,.625,0,2,.000,1,0,1,2,0,0,0,0,5,4.3,1
38,38,57,2022-02-12,LAL,@,GSW,L 115-117,,23:22,5,5,1.000,1,1,1.000,4,4,1.000,1.100,2,2,1.000,1,2,3,2,0,2,0,1,13,15.2,-3
39,39,58,2022-02-16,LAL,,UTA,W 106-101,,28:58,3,6,.500,1,4,.250,2,2,1.000,.583,2,3,.667,0,4,4,2,1,0,0,1,9,8.8,8
40,40,59,2022-02-25,LAL,,LAC,L 102-105,*,32:39,2,4,.500,0,2,.000,2,2,1.000,.500,2,2,1.000,1,0,1,3,0,2,1,4,6,5.6,-2
41,41,60,2022-02-27,LAL,,NOP,L 95-123,*,21:14,1,5,.200,0,4,.000,1,1,1.000,.200,0,0,,0,0,0,0,0,0,0,2,2,-1.9,-20
42,42,61,2022-03-01,LAL,,DAL,L 104-109,*,16:40,1,6,.167,0,3,.000,1,3,.333,.167,0,0,,0,4,4,2,1,1,1,4,2,-0.1,7
43,43,62,2022-03-03,LAL,@,LAC,L 111-132,*,26:10,3,7,.429,2,3,.667,1,4,.250,.571,1,1,1.000,0,1,1,3,1,1,0,1,9,9.0,-19
44,44,63,2022-03-05,LAL,,GSW,W 124-116,*,33:31,3,7,.429,3,5,.600,0,2,.000,.643,1,1,1.000,2,3,5,2,3,2,2,3,10,11.2,18
45,45,64,2022-03-07,LAL,@,SAS,L 110-117,*,27:06,6,8,.750,1,1,1.000,5,7,.714,.813,0,0,,1,5,6,0,0,0,1,3,13,9.8,11
46,46,65,2022-03-09,LAL,@,HOU,L 130-139 (OT),*,33:03,4,7,.571,3,6,.500,1,1,1.000,.786,6,6,1.000,0,4,4,2,1,1,2,2,17,15.2,-10
47,47,66,2022-03-11,LAL,,WAS,W 122-109,*,31:50,6,10,.600,0,4,.000,6,6,1.000,.600,0,0,,0,5,5,3,0,1,1,1,12,10.3,12
48,48,67,2022-03-13,LAL,@,PHO,L 111-140,*,25:24,2,4,.500,1,2,.500,1,2,.500,.625,5,6,.833,0,4,4,0,1,0,1,0,10,8.8,-32
49,49,68,2022-03-14,LAL,,TOR,L 103-114,*,16:53,1,7,.143,0,4,.000,1,3,.333,.143,1,2,.500,0,2,2,0,0,0,1,0,3,-2.3,-24
50,50,69,2022-03-16,LAL,@,MIN,L 104-124,*,21:34,3,5,.600,1,2,.500,2,3,.667,.700,0,0,,0,3,3,1,0,0,1,0,7,5.3,0
51,51,70,2022-03-18,LAL,@,TOR,W 128-123 (OT),,27:00,3,10,.300,2,7,.286,1,3,.333,.400,2,2,1.000,1,6,7,6,2,0,0,1,10,12.5,18
52,52,71,2022-03-19,LAL,@,WAS,L 119-127,*,27:07,3,6,.500,1,4,.250,2,2,1.000,.583,2,2,1.000,1,1,2,2,1,0,0,3,9,8.2,7
53,53,72,2022-03-21,LAL,@,CLE,W 131-120,*,29:22,4,9,.444,1,1,1.000,3,8,.375,.500,2,2,1.000,4,1,5,6,0,1,0,1,11,13.9,-6
54,54,73,2022-03-23,LAL,,PHI,L 121-126,*,29:07,2,6,.333,0,1,.000,2,5,.400,.333,0,0,,2,0,2,1,2,0,1,1,4,3.3,-12
55,55,74,2022-03-27,LAL,@,NOP,L 108-116,*,19:44,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,1,5,6,6,1,0,1,1,0,4.6,-16
56,56,75,2022-03-29,LAL,@,DAL,L 110-128,*,17:28,1,6,.167,0,4,.000,1,2,.500,.167,1,2,.500,2,3,5,2,0,0,1,3,3,0.3,-20
57,57,76,2022-03-31,LAL,@,UTA,L 109-122,,16:37,0,1,.000,0,1,.000,0,0,,.000,3,4,.750,1,1,2,0,0,0,1,1,3,1.5,1
58,58,79,2022-04-05,LAL,@,PHO,L 110-121,,30:58,6,10,.600,2,6,.333,4,4,1.000,.700,4,6,.667,1,3,4,6,1,0,2,2,18,16.6,9
59,59,80,2022-04-07,LAL,@,GSW,L 112-128,*,32:31,3,8,.375,1,4,.250,2,4,.500,.438,5,6,.833,0,3,3,1,0,0,0,0,12,8.8,-3
60,60,81,2022-04-08,LAL,,OKC,W 120-101,*,28:06,3,5,.600,1,2,.500,2,3,.667,.700,4,6,.667,0,4,4,4,1,0,0,1,11,12.5,-1
61,61,82,2022-04-10,LAL,@,DEN,W 146-141 (OT),*,41:34,7,17,.412,3,5,.600,4,12,.333,.500,14,14,1.000,6,10,16,10,2,1,3,0,31,35.8,12
1,62,1,2022-10-18,LAL,@,GSW,L 109-123,,16:00,1,3,.333,0,2,.000,1,1,1.000,.333,1,1,1.000,0,0,0,1,0,0,0,1,3,1.6,-6
2,63,2,2022-10-20,LAL,,LAC,L 97-103,,21:55,1,2,.500,0,1,.000,1,1,1.000,.500,2,2,1.000,2,2,4,2,0,0,0,5,4,4.4,0
3,64,3,2022-10-23,LAL,,POR,L 104-106,,18:58,2,5,.400,2,4,.500,0,1,.000,.600,1,1,1.000,0,0,0,1,1,0,2,1,7,3.6,-6
4,65,4,2022-10-26,LAL,@,DEN,L 99-110,*,26:29,3,5,.600,2,3,.667,1,2,.500,.800,0,0,,0,2,2,1,0,0,1,0,8,6.0,-23
5,66,5,2022-10-28,LAL,@,MIN,L 102-111,,26:35,4,5,.800,2,3,.667,2,2,1.000,1.000,2,2,1.000,1,6,7,3,0,0,2,0,12,12.7,8
6,67,6,2022-10-30,LAL,,DEN,W 121-110,,27:36,3,6,.500,2,4,.500,1,2,.500,.667,2,3,.667,0,4,4,2,1,1,0,1,10,10.5,15
7,68,7,2022-11-02,LAL,,NOP,W 120-117 (OT),,34:27,2,6,.333,0,3,.000,2,3,.667,.333,3,3,1.000,0,0,0,2,2,0,1,1,7,5.6,-11
8,69,8,2022-11-04,LAL,,UTA,L 116-130,,21:41,1,1,1.000,1,1,1.000,0,0,,1.500,2,2,1.000,0,2,2,3,1,2,1,1,5,8.4,-4
9,70,9,2022-11-06,LAL,,CLE,L 100-114,,25:25,0,2,.000,0,1,.000,0,1,.000,.000,1,1,1.000,0,4,4,0,0,1,2,3,1,-1.7,-12
10,71,10,2022-11-07,LAL,@,UTA,L 116-139,*,29:48,2,6,.333,0,3,.000,2,3,.667,.333,7,7,1.000,0,4,4,1,0,0,0,0,11,9.5,-14
11,72,11,2022-11-09,LAL,@,LAC,L 101-114,*,35:16,3,10,.300,1,5,.200,2,5,.400,.350,1,3,.333,4,5,9,1,0,0,1,0,8,5.4,1
12,73,12,2022-11-11,LAL,,SAC,L 114-120,,33:04,7,12,.583,0,2,.000,7,10,.700,.583,5,5,1.000,2,3,5,1,1,0,3,1,19,14.0,2
13,74,13,2022-11-13,LAL,,BRK,W 116-103,*,32:36,5,8,.625,3,4,.750,2,4,.500,.813,2,3,.667,0,1,1,3,0,0,1,2,15,11.6,20
14,75,14,2022-11-18,LAL,,DET,W 128-121,*,36:23,5,8,.625,2,4,.500,3,4,.750,.750,4,4,1.000,1,3,4,6,0,1,0,2,16,18.1,14
15,76,15,2022-11-20,LAL,,SAS,W 123-92,*,27:17,7,11,.636,3,4,.750,4,7,.571,.773,4,4,1.000,1,1,2,3,0,0,1,1,21,17.8,19
16,77,16,2022-11-22,LAL,@,PHO,L 105-115,*,35:36,3,5,.600,0,1,.000,3,4,.750,.600,5,5,1.000,1,2,3,4,0,1,1,5,11,10.5,-2
17,78,17,2022-11-25,LAL,@,SAS,W 105-94,,29:18,3,8,.375,0,3,.000,3,5,.600,.375,2,2,1.000,1,5,6,2,1,0,2,1,8,5.8,15
18,79,18,2022-11-26,LAL,@,SAS,W 143-138,,30:50,6,7,.857,1,2,.500,5,5,1.000,.929,3,3,1.000,0,2,2,2,1,0,2,3,16,13.3,3
19,80,19,2022-11-28,LAL,,IND,L 115-116,,31:17,2,4,.500,2,3,.667,0,1,.000,.750,7,7,1.000,0,2,2,1,0,0,1,1,13,10.9,6
20,81,20,2022-11-30,LAL,,POR,W 128-109,*,34:55,7,10,.700,2,5,.400,5,5,1.000,.800,6,8,.750,2,3,5,3,1,1,0,1,22,22.7,10
21,82,21,2022-12-02,LAL,@,MIL,W 133-129,,32:17,2,4,.500,1,2,.500,1,2,.500,.625,2,2,1.000,1,1,2,2,0,0,1,0,7,6.4,17
22,83,22,2022-12-04,LAL,@,WAS,W 130-119,,24:35,2,4,.500,0,2,.000,2,2,1.000,.500,1,1,1.000,0,3,3,0,0,0,0,1,5,3.5,-4
23,84,23,2022-12-06,LAL,@,CLE,L 102-116,,25:58,3,9,.333,0,4,.000,3,5,.600,.333,2,2,1.000,0,0,0,0,1,0,2,2,8,1.1,-20
24,85,24,2022-12-07,LAL,@,TOR,L 113-126,*,28:26,4,12,.333,1,6,.167,3,6,.500,.375,1,1,1.000,1,1,2,3,0,0,0,3,10,5.1,-11
25,86,25,2022-12-09,LAL,@,PHI,L 122-133 (OT),,40:50,9,15,.600,4,6,.667,5,9,.556,.733,3,4,.750,1,1,2,5,2,0,3,5,25,19.2,-4
26,87,26,2022-12-11,LAL,@,DET,W 124-117,,28:35,3,6,.500,3,5,.600,0,1,.000,.750,0,0,,0,3,3,2,0,1,3,0,9,6.0,3
27,88,27,2022-12-13,LAL,,BOS,L 118-122 (OT),,35:35,2,6,.333,0,2,.000,2,4,.500,.333,0,0,,1,3,4,5,2,2,0,3,4,7.9,8
28,89,28,2022-12-16,LAL,,DEN,W 126-108,,29:56,5,9,.556,2,5,.400,3,4,.750,.667,4,4,1.000,1,3,4,0,1,1,2,3,16,11.8,26
29,90,29,2022-12-18,LAL,,WAS,W 119-117,*,33:31,4,5,.800,2,2,1.000,2,3,.667,1.000,2,2,1.000,0,4,4,2,1,1,1,2,12,12.6,15
30,91,32,2022-12-23,LAL,,CHO,L 130-134,,28:40,6,10,.600,3,6,.500,3,4,.750,.750,5,7,.714,1,1,2,2,1,0,3,0,20,15.0,3
