Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
39,341,39,2025-01-13,55403,1,20004,W 120-106,*,36:24,14,25,0.56,5,11,0.455,9,14,0.643,0.66,8,8,1.0,2,4,6,7,3,1,7,2,41,32.5,18.0
40,342,40,2025-01-15,55403,0,94607,L 115-116,*,40:54,7,19,0.368,4,9,0.444,3,10,0.3,0.474,10,11,0.909,1,7,8,2,1,1,5,1,28,17.6,-2.0
41,343,41,2025-01-17,55403,1,10001,W 116-99,*,37:49,12,21,0.571,8,13,0.615,4,8,0.5,0.762,4,4,1.0,2,11,13,7,0,0,6,0,36,29.7,24.0
42,344,42,2025-01-18,55403,0,44115,L 117-124,*,41:02,9,22,0.409,4,9,0.444,5,13,0.385,0.5,6,6,1.0,0,3,3,5,1,1,2,2,28,19.5,-2.0
43,345,43,2025-01-20,55403,1,38103,L 106-108,*,37:41,8,19,0.421,3,8,0.375,5,11,0.455,0.5,13,18,0.722,1,3,4,3,0,1,5,1,32,18.9,-7.0
44,346,44,2025-01-22,55403,1,75219,W 115-114,*,36:30,6,19,0.316,2,7,0.286,4,12,0.333,0.368,7,8,0.875,1,4,5,7,0,0,3,0,21,13.5,-10.0
45,347,45,2025-01-25,55403,0,80204,W 133-104,*,33:20,14,23,0.609,3,8,0.375,11,15,0.733,0.674,3,4,0.75,1,0,1,9,0,0,3,4,34,25.5,27.0
46,348,46,2025-01-27,55403,0,30313,W 100-92,*,35:23,6,20,0.3,2,11,0.182,4,9,0.444,0.35,9,13,0.692,2,3,5,4,2,1,3,2,23,13.8,8.0
47,349,47,2025-01-29,55403,1,85004,W 121-113,*,39:57,11,20,0.55,3,8,0.375,8,12,0.667,0.625,8,9,0.889,0,7,7,5,2,4,7,2,33,25.6,10.0
48,350,48,2025-01-30,55403,1,84101,W 138-113,*,35:22,12,18,0.667,6,9,0.667,6,9,0.667,0.833,6,7,0.857,1,5,6,11,0,3,3,3,36,35.6,25.0
49,351,50,2025-02-03,55403,0,95814,L 114-116,*,37:32,7,21,0.333,3,10,0.3,4,11,0.364,0.405,4,4,1.0,1,5,6,4,2,1,3,3,21,12.6,0.0
50,352,51,2025-02-05,55403,0,60612,W 127-108,*,36:51,13,28,0.464,6,14,0.429,7,14,0.5,0.571,17,18,0.944,3,6,9,3,1,1,5,2,49,36.1,17.0
51,353,52,2025-02-06,55403,0,77002,W 127-114,*,38:27,11,25,0.44,5,12,0.417,6,13,0.462,0.54,14,15,0.933,2,5,7,6,0,1,4,3,41,30.1,9.0
52,354,54,2025-02-10,55403,1,44115,L 107-128,*,36:30,13,28,0.464,8,15,0.533,5,13,0.385,0.607,10,13,0.769,0,6,6,1,1,0,7,0,44,24.9,-12.0
53,355,55,2025-02-12,55403,0,53203,L 101-103,*,37:01,10,33,0.303,4,17,0.235,6,16,0.375,0.364,4,5,0.8,0,7,7,4,2,0,2,0,28,13.4,0.0
