Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
63,444,63,2021-04-29,80204,0,51300,W 121-111,*,28:26,8,13,0.615,2,3,0.667,6,10,0.6,0.692,1,1,1.0,4,7,11,2,1,0,1,1,19,19.0,-4
64,445,64,2021-05-01,80204,1,90015,W 110-104,*,33:22,9,17,0.529,2,6,0.333,7,11,0.636,0.588,10,10,1.0,2,12,14,7,0,1,0,4,30,30.7,-3
65,446,65,2021-05-03,80204,1,90015,L 89-93,*,35:36,12,28,0.429,1,4,0.25,11,24,0.458,0.446,7,8,0.875,3,6,9,5,2,1,2,4,32,23.3,3
66,447,66,2021-05-05,80204,0,10001,W 113-97,*,29:07,10,16,0.625,0,2,0.0,10,14,0.714,0.625,12,15,0.8,3,9,12,6,2,2,4,3,32,30.8,15
67,448,67,2021-05-07,80204,1,84101,L 120-127,*,35:02,9,11,0.818,2,2,1.0,7,9,0.778,0.909,4,4,1.0,2,7,9,13,0,1,5,5,24,26.2,-4
68,449,68,2021-05-08,80204,0,11217,L 119-125,*,36:56,10,21,0.476,0,5,0.0,10,16,0.625,0.476,9,9,1.0,3,4,7,6,0,0,5,3,29,19.6,3
69,450,69,2021-05-11,80204,1,28202,W 117-112,*,32:57,7,16,0.438,0,2,0.0,7,14,0.5,0.438,16,17,0.941,2,9,11,6,0,0,2,2,30,26.7,12
70,451,70,2021-05-13,80204,1,55403,W 114-103,*,32:14,14,21,0.667,0,3,0.0,14,18,0.778,0.667,3,3,1.0,6,8,14,4,1,1,2,2,31,30.2,8
71,452,71,2021-05-14,80204,1,48226,W 104-91,*,26:28,7,11,0.636,0,0,,7,11,0.636,0.636,6,7,0.857,3,12,15,11,0,0,1,2,20,26.3,18
72,453,72,2021-05-16,80204,1,97227,L 116-132,*,16:41,9,17,0.529,0,3,0.0,9,14,0.643,0.529,3,3,1.0,1,2,3,2,1,0,1,3,21,14.2,-13
1,454,1,2021-10-20,80204,1,85004,W 110-98,*,34:43,13,22,0.591,1,6,0.167,12,16,0.75,0.614,0,0,,2,11,13,2,2,0,3,3,27,20.7,28
2,455,2,2021-10-22,80204,0,78219,W 102-96,*,33:37,14,19,0.737,2,2,1.0,12,17,0.706,0.789,2,3,0.667,5,11,16,7,3,1,6,4,32,31.7,14
3,456,3,2021-10-25,80204,0,44115,L 87-99,*,34:57,9,15,0.6,1,4,0.25,8,11,0.727,0.633,5,6,0.833,3,16,19,3,3,0,6,3,24,21.5,-12
4,457,4,2021-10-26,80204,1,84101,L 110-122,*,15:00,8,9,0.889,3,3,1.0,5,6,0.833,1.056,5,7,0.714,1,5,6,6,0,0,1,1,24,25.1,7
5,458,5,2021-10-29,80204,0,75219,W 106-75,*,25:15,5,9,0.556,1,3,0.333,4,6,0.667,0.611,0,0,,2,14,16,8,1,0,1,4,11,16.3,26
6,459,6,2021-10-30,80204,1,55403,W 93-91,*,36:40,10,23,0.435,3,8,0.375,7,15,0.467,0.5,3,4,0.75,5,14,19,7,1,2,7,2,26,20.7,17
7,460,7,2021-11-01,80204,1,38103,L 97-106,*,33:03,9,15,0.6,2,6,0.333,7,9,0.778,0.667,3,4,0.75,1,6,7,7,0,4,3,2,23,22.1,0
