Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
53,389,54,2015-02-24,94607,1,20004,W 114-107,*,33:49,11,18,0.611,5,9,0.556,6,9,0.667,0.75,5,5,1.0,0,0,0,8,2,0,0,1,32,31.0,1
54,390,55,2015-02-26,94607,1,44115,L 99-110,*,33:50,5,17,0.294,3,9,0.333,2,8,0.25,0.382,5,5,1.0,0,3,3,6,1,0,4,3,18,9.0,-10
55,391,56,2015-02-27,94607,1,51300,W 113-89,*,25:01,8,13,0.615,3,4,0.75,5,9,0.556,0.731,3,3,1.0,3,3,6,5,2,0,2,0,22,22.6,33
56,392,57,2015-03-01,94607,1,02114,W 106-101,*,37:38,14,22,0.636,5,8,0.625,9,14,0.643,0.75,4,4,1.0,0,4,4,5,1,0,5,1,37,27.5,8
57,393,58,2015-03-02,94607,1,11217,L 108-110,*,29:16,8,16,0.5,6,12,0.5,2,4,0.5,0.688,4,4,1.0,0,2,2,7,1,0,4,4,26,18.9,1
58,394,59,2015-03-04,94607,0,53203,W 102-93,*,36:35,6,16,0.375,6,13,0.462,0,3,0.0,0.563,1,2,0.5,0,1,1,11,2,2,5,3,19,15.0,6
59,395,60,2015-03-06,94607,0,75219,W 104-89,*,30:53,6,11,0.545,5,8,0.625,1,3,0.333,0.773,5,6,0.833,0,2,2,7,2,1,3,2,22,20.7,23
60,396,61,2015-03-08,94607,0,90015,W 106-98,*,31:58,3,9,0.333,2,2,1.0,1,7,0.143,0.444,4,4,1.0,0,1,1,4,3,0,4,1,12,8.6,15
61,397,62,2015-03-09,94607,1,85004,W 98-80,*,35:46,14,24,0.583,7,13,0.538,7,11,0.636,0.729,1,2,0.5,3,3,6,5,4,0,4,3,36,29.7,23
62,398,63,2015-03-11,94607,0,48226,W 105-98,*,33:57,4,15,0.267,1,7,0.143,3,8,0.375,0.3,0,0,,1,4,5,11,1,0,3,1,9,7.3,8
63,399,65,2015-03-14,94607,0,10001,W 125-94,*,26:56,8,15,0.533,6,10,0.6,2,5,0.4,0.733,3,3,1.0,0,3,3,11,3,0,1,2,25,27.5,30
64,400,66,2015-03-16,94607,0,90015,W 108-105,*,32:40,5,14,0.357,2,6,0.333,3,8,0.375,0.429,7,7,1.0,0,4,4,9,3,0,6,2,19,14.9,-3
65,401,67,2015-03-18,94607,0,30313,W 114-95,*,29:41,4,11,0.364,2,6,0.333,2,5,0.4,0.455,6,6,1.0,1,3,4,12,0,0,4,1,16,15.5,17
66,402,68,2015-03-20,94607,0,70112,W 112-96,*,27:02,4,17,0.235,2,10,0.2,2,7,0.286,0.294,6,6,1.0,0,2,2,11,0,0,3,0,16,11.0,11
67,403,69,2015-03-21,94607,0,84101,W 106-91,*,32:14,8,18,0.444,3,6,0.5,5,12,0.417,0.528,5,5,1.0,1,2,3,3,3,0,0,0,24,21.0,12
68,404,70,2015-03-23,94607,0,20004,W 107-76,*,28:16,8,14,0.571,5,8,0.625,3,6,0.5,0.75,3,3,1.0,1,4,5,6,2,0,2,1,24,23.1,30
69,405,71,2015-03-24,94607,1,97227,W 122-108,*,35:26,13,22,0.591,5,9,0.556,8,13,0.615,0.705,2,2,1.0,0,2,2,10,1,0,2,2,33,28.6,12
70,406,72,2015-03-27,94607,1,38103,W 107-84,*,34:14,12,22,0.545,8,12,0.667,4,10,0.4,0.727,6,6,1.0,1,2,3,10,3,1,4,3,38,34.2,26
71,407,73,2015-03-28,94607,1,53203,W 108-95,*,30:24,8,13,0.615,6,9,0.667,2,4,0.5,0.846,3,3,1.0,0,4,4,6,1,0,6,4,25,17.9,1
72,408,74,2015-03-31,94607,1,90015,W 110-106,*,36:11,8,15,0.533,4,6,0.667,4,9,0.444,0.667,7,7,1.0,1,0,1,4,1,0,3,3,27,20.0,-1
73,409,75,2015-04-02,94607,0,85004,W 107-106,*,33:32,10,22,0.455,6,11,0.545,4,11,0.364,0.591,2,2,1.0,1,7,8,5,0,0,6,3,28,15.7,-1
74,410,76,2015-04-04,94607,1,75219,W 123-110,*,27:27,4,12,0.333,1,4,0.25,3,8,0.375,0.375,2,3,0.667,2,2,4,3,1,0,1,1,11,7.5,11
75,411,77,2015-04-05,94607,1,78219,L 92-107,*,30:03,9,17,0.529,5,10,0.5,4,7,0.571,0.676,1,2,0.5,0,4,4,6,1,0,4,2,24,16.9,-16
76,412,78,2015-04-07,94607,1,70112,L 100-103,*,34:45,9,18,0.5,5,8,0.625,4,10,0.4,0.639,2,2,1.0,1,5,6,9,1,0,2,3,25,22.3,4
77,413,79,2015-04-09,94607,0,97227,W 116-105,*,35:13,17,23,0.739,8,13,0.615,9,10,0.9,0.913,3,3,1.0,1,1,2,10,0,0,4,2,45,38.9,21
78,414,80,2015-04-11,94607,0,55403,W 110-101,*,35:26,11,21,0.524,5,11,0.455,6,10,0.6,0.643,7,8,0.875,0,4,4,7,4,0,3,1,34,30.0,17
79,415,81,2015-04-13,94607,0,38103,W 111-107,*,29:17,6,10,0.6,3,6,0.5,3,4,0.75,0.75,0,0,,0,4,4,8,1,0,3,2,15,14.4,24
80,416,82,2015-04-15,94607,0,80204,W 133-126,*,19:20,4,10,0.4,2,4,0.5,2,6,0.333,0.5,0,0,,2,2,4,7,5,0,2,1,10,14.1,14
1,417,1,2015-10-27,94607,0,70112,W 111-95,*,35:37,14,26,0.538,5,12,0.417,9,14,0.643,0.635,7,7,1.0,3,3,6,7,2,0,2,1,40,34.9,12
2,418,2,2015-10-30,94607,1,77002,W 112-92,*,27:24,9,15,0.6,4,9,0.444,5,6,0.833,0.733,3,4,0.75,0,7,7,6,1,0,1,4,25,22.4,12
3,419,3,2015-10-31,94607,1,70112,W 134-120,*,35:38,17,27,0.63,8,14,0.571,9,13,0.692,0.778,11,11,1.0,0,4,4,9,4,0,2,3,53,49.2,16
4,420,4,2015-11-02,94607,0,38103,W 119-69,*,28:24,10,16,0.625,4,8,0.5,6,8,0.75,0.75,6,6,1.0,1,2,3,3,3,1,3,2,30,26.1,37
5,421,5,2015-11-04,94607,0,90015,W 112-108,*,32:38,8,17,0.471,7,11,0.636,1,6,0.167,0.676,8,9,0.889,0,5,5,4,1,0,0,3,31,26.0,7
6,422,6,2015-11-06,94607,0,80204,W 119-104,*,34:39,12,22,0.545,8,16,0.5,4,6,0.667,0.727,2,3,0.667,0,7,7,10,3,1,4,1,34,31.4,14
7,423,7,2015-11-07,94607,1,95814,W 103-94,*,39:08,8,18,0.444,2,10,0.2,6,8,0.75,0.5,6,7,0.857,1,5,6,3,2,0,6,1,24,14.1,6
8,424,8,2015-11-09,94607,0,48226,W 109-95,*,36:50,7,18,0.389,3,7,0.429,4,11,0.364,0.472,5,6,0.833,1,4,5,5,3,0,5,1,22,14.8,12
9,425,9,2015-11-11,94607,1,38103,W 100-84,*,34:30,9,21,0.429,3,10,0.3,6,11,0.545,0.5,7,7,1.0,0,5,5,5,5,1,4,1,28,23.2,16
10,426,10,2015-11-12,94607,1,55403,W 129-116,*,37:42,15,25,0.6,8,13,0.615,7,12,0.583,0.76,8,8,1.0,0,5,5,4,2,0,3,3,46,36.6,21
11,427,11,2015-11-14,94607,0,11217,W 107-99 (OT),*,43:44,13,31,0.419,5,16,0.313,8,15,0.533,0.5,3,3,1.0,0,3,3,6,1,0,4,1,34,19.2,3
12,428,12,2015-11-17,94607,0,51300,W 115-110,*,39:35,13,23,0.565,5,10,0.5,8,13,0.615,0.674,6,7,0.857,0,2,2,9,2,0,7,1,37,27.2,11
13,429,13,2015-11-19,94607,1,90015,W 124-117,*,36:46,11,22,0.5,6,14,0.429,5,8,0.625,0.636,12,12,1.0,0,11,11,4,3,0,7,2,40,30.3,12
14,430,14,2015-11-20,94607,0,60612,W 106-94,*,36:05,9,20,0.45,3,11,0.273,6,9,0.667,0.525,6,6,1.0,1,4,5,4,4,0,6,2,27,18.5,11
15,431,15,2015-11-22,94607,1,80204,W 118-105,*,27:37,8,16,0.5,3,8,0.375,5,8,0.625,0.594,0,0,,0,4,4,7,3,0,4,0,19,16.1,11
16,432,16,2015-11-24,94607,0,90015,W 111-77,*,30:10,10,21,0.476,4,12,0.333,6,9,0.667,0.571,0,0,,0,4,4,9,2,0,0,1,24,22.4,36
17,433,17,2015-11-27,94607,1,85004,W 135-116,*,30:39,11,20,0.55,9,16,0.563,2,4,0.5,0.775,10,11,0.909,1,5,6,8,2,0,6,2,41,34.0,27
18,434,18,2015-11-28,94607,0,95814,W 120-101,*,29:48,4,7,0.571,3,6,0.5,1,1,1.0,0.786,8,8,1.0,0,4,4,6,3,0,1,1,19,22.7,19
19,435,19,2015-11-30,94607,1,84101,W 106-103,*,37:16,9,20,0.45,4,8,0.5,5,12,0.417,0.55,4,4,1.0,2,4,6,5,2,0,2,2,26,20.9,12
20,436,20,2015-12-02,94607,1,28202,W 116-99,*,30:49,14,18,0.778,8,11,0.727,6,7,0.857,1.0,4,4,1.0,0,3,3,5,0,0,5,2,40,31.6,19
21,437,21,2015-12-05,94607,1,51300,W 112-109,*,37:51,14,24,0.583,9,15,0.6,5,9,0.556,0.771,7,9,0.778,1,1,2,7,0,0,3,4,44,33.3,15
22,438,22,2015-12-06,94607,1,11217,W 114-98,*,32:14,11,17,0.647,5,9,0.556,6,8,0.75,0.794,1,4,0.25,0,5,5,2,1,0,4,2,28,18.4,10
23,439,23,2015-12-08,94607,1,46225,W 131-123,*,35:39,11,23,0.478,3,10,0.3,8,13,0.615,0.543,4,6,0.667,0,7,7,10,3,0,4,1,29,24.2,18
24,440,24,2015-12-11,94607,1,02114,W 124-119 (2OT),*,46:55,9,27,0.333,6,13,0.462,3,14,0.214,0.444,14,14,1.0,3,8,11,8,2,0,8,4,38,25.2,15
25,441,25,2015-12-12,94607,1,53203,L 95-108,*,35:14,10,22,0.455,2,9,0.222,8,13,0.615,0.5,6,7,0.857,2,5,7,5,1,0,2,2,28,20.8,0
26,442,26,2015-12-16,94607,0,85004,W 128-103,*,29:35,10,14,0.714,2,5,0.4,8,9,0.889,0.786,3,5,0.6,0,2,2,7,1,0,3,4,25,20.3,37
27,443,27,2015-12-18,94607,0,53203,W 121-112,*,39:20,7,14,0.5,2,6,0.333,5,8,0.625,0.571,10,11,0.909,2,8,10,9,2,0,6,2,26,23.9,13
28,444,28,2015-12-23,94607,0,84101,W 103-85,*,34:13,5,14,0.357,2,8,0.25,3,6,0.5,0.429,4,4,1.0,1,4,5,9,3,0,3,2,16,15.6,21
29,445,29,2015-12-25,94607,0,44115,W 89-83,*,36:35,6,15,0.4,1,4,0.25,5,11,0.455,0.433,6,6,1.0,1,6,7,7,2,0,3,3,19,16.1,15
30,446,30,2015-12-28,94607,0,95814,W 122-103,*,30:22,7,16,0.438,6,13,0.462,1,3,0.333,0.625,3,4,0.75,0,14,14,10,2,0,2,3,23,24.2,24
31,447,33,2016-01-02,94607,0,80204,W 111-108 (OT),*,14:23,2,6,0.333,1,5,0.2,1,1,1.0,0.417,0,0,,0,1,1,4,2,0,2,1,5,4.3,12
32,448,34,2016-01-04,94607,0,28202,W 111-101,*,31:51,12,21,0.571,5,10,0.5,7,11,0.636,0.69,1,1,1.0,0,3,3,4,2,0,2,4,30,22.2,1
33,449,35,2016-01-05,94607,1,90015,W 109-88,*,26:08,6,13,0.462,4,8,0.5,2,5,0.4,0.615,1,1,1.0,1,0,1,6,3,0,3,2,17,14.4,28
34,450,36,2016-01-08,94607,1,97227,W 128-108,*,28:50,8,18,0.444,4,11,0.364,4,7,0.571,0.556,6,6,1.0,0,3,3,9,1,0,1,2,26,23.0,22
35,451,37,2016-01-09,94607,1,95814,W 128-116,*,37:54,12,21,0.571,8,14,0.571,4,7,0.571,0.762,6,7,0.857,1,5,6,11,1,1,4,3,38,34.1,16
36,452,38,2016-01-11,94607,0,33132,W 111-103,*,37:34,11,27,0.407,4,11,0.364,7,16,0.438,0.481,5,6,0.833,0,2,2,6,1,0,1,2,31,20.1,-3
37,453,39,2016-01-13,94607,1,80204,L 110-112,*,39:48,13,25,0.52,5,12,0.417,8,13,0.615,0.62,7,7,1.0,2,3,5,9,3,1,8,1,38,29.6,-4
38,454,40,2016-01-14,94607,0,90015,W 116-98,*,29:31,9,18,0.5,8,16,0.5,1,2,0.5,0.722,0,0,,2,4,6,3,1,0,3,3,26,18.5,14
39,455,41,2016-01-16,94607,1,48226,L 95-113,*,36:55,13,26,0.5,7,15,0.467,6,11,0.545,0.635,5,6,0.833,1,6,7,5,2,0,2,1,38,30.2,2
40,456,42,2016-01-18,94607,1,44115,W 132-98,*,28:03,12,18,0.667,7,12,0.583,5,6,0.833,0.861,4,4,1.0,2,3,5,4,3,0,1,3,35,33.1,34
41,457,43,2016-01-20,94607,1,60612,W 125-94,*,33:45,8,18,0.444,3,9,0.333,5,9,0.556,0.528,6,6,1.0,1,6,7,11,2,1,2,2,25,25.7,36
42,458,44,2016-01-22,94607,0,46225,W 122-110,*,36:49,11,19,0.579,8,15,0.533,3,4,0.75,0.789,9,9,1.0,2,8,10,12,1,0,2,1,39,40.9,22
43,459,45,2016-01-25,94607,0,78219,W 120-90,*,28:21,12,20,0.6,6,9,0.667,6,11,0.545,0.75,7,7,1.0,1,1,2,3,5,0,1,0,37,34.9,23
44,460,46,2016-01-27,94607,0,75219,W 127-107,*,31:48,4,11,0.364,3,7,0.429,1,4,0.25,0.5,3,3,1.0,1,1,2,9,3,1,0,2,14,18.1,26
45,461,47,2016-01-30,94607,1,19148,W 108-105,*,34:12,9,19,0.474,5,11,0.455,4,8,0.5,0.605,0,0,,2,3,5,6,1,2,8,3,23,13.0,8
46,462,48,2016-01-31,94607,1,10001,W 116-95,*,31:59,5,17,0.294,3,11,0.273,2,6,0.333,0.382,0,0,,0,4,4,4,3,0,3,1,13,6.7,10
47,463,49,2016-02-03,94607,1,20004,W 134-121,*,35:41,19,28,0.679,11,15,0.733,8,13,0.615,0.875,2,3,0.667,1,6,7,2,3,0,7,3,51,37.3,20
48,464,50,2016-02-06,94607,0,73102,W 116-108,*,37:42,10,26,0.385,1,9,0.111,9,17,0.529,0.404,5,5,1.0,1,5,6,10,3,0,3,2,26,20.2,3
49,465,51,2016-02-09,94607,0,77002,W 123-110,*,37:41,12,24,0.5,7,16,0.438,5,8,0.625,0.646,4,4,1.0,1,4,5,9,1,0,1,2,35,30.4,3
50,466,52,2016-02-10,94607,1,85004,W 112-104,*,30:06,9,17,0.529,5,10,0.5,4,7,0.571,0.676,3,4,0.75,5,4,9,9,1,1,2,1,26,27.6,12
51,467,53,2016-02-19,94607,1,97227,L 105-137,*,26:18,12,23,0.522,7,13,0.538,5,10,0.5,0.674,0,0,,2,1,3,5,2,0,3,4,31,22.3,-18
52,468,54,2016-02-20,94607,1,90015,W 115-112,*,35:30,5,15,0.333,3,8,0.375,2,7,0.286,0.433,10,12,0.833,0,3,3,9,3,0,3,2,23,20.1,4
53,469,55,2016-02-22,94607,1,30313,W 102-92,*,35:48,14,22,0.636,5,11,0.455,9,11,0.818,0.75,3,3,1.0,1,5,6,8,3,0,2,2,36,34.2,13
54,470,56,2016-02-24,94607,1,33132,W 118-112,*,35:35,14,29,0.483,6,12,0.5,8,17,0.471,0.586,8,8,1.0,3,4,7,7,1,1,7,0,42,30.2,7
55,471,57,2016-02-25,94607,1,32801,W 130-114,*,34:02,20,27,0.741,10,15,0.667,10,12,0.833,0.926,1,1,1.0,0,7,7,8,0,1,5,1,51,43.1,11
56,472,58,2016-02-27,94607,1,73102,W 121-118 (OT),*,37:41,14,24,0.583,12,16,0.75,2,8,0.25,0.833,6,8,0.75,0,3,3,6,2,0,3,1,46,37.7,6
57,473,60,2016-03-03,94607,0,73102,W 121-106,*,37:11,12,25,0.48,5,15,0.333,7,10,0.7,0.58,4,5,0.8,1,3,4,4,1,1,1,2,33,24.2,6
58,474,61,2016-03-06,94607,1,90015,L 95-112,*,34:17,6,20,0.3,1,10,0.1,5,10,0.5,0.325,5,5,1.0,1,5,6,4,1,0,4,2,18,7.6,-8
59,475,62,2016-03-07,94607,0,32801,W 119-113,*,37:20,14,24,0.583,7,13,0.538,7,11,0.636,0.729,6,6,1.0,1,12,13,3,4,0,5,3,41,34.0,21
60,476,63,2016-03-09,94607,0,84101,W 115-94,*,31:31,4,12,0.333,3,9,0.333,1,3,0.333,0.458,1,2,0.5,0,3,3,10,3,0,3,2,12,11.9,12
61,477,64,2016-03-11,94607,0,97227,W 128-112,*,29:26,13,23,0.565,7,14,0.5,6,9,0.667,0.717,1,2,0.5,0,3,3,4,2,0,3,2,34,24.6,14
62,478,65,2016-03-12,94607,0,85004,W 123-116,*,34:59,12,24,0.5,7,16,0.438,5,8,0.625,0.646,4,4,1.0,1,2,3,6,0,0,1,4,35,25.9,19
