Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
25,188,25,2018-12-07,80204,1,28202,L 107-113,*,36:42,8,20,0.4,0,4,0.0,8,16,0.5,0.4,4,5,0.8,2,3,5,7,2,0,1,4,20,15.4,-2
26,189,26,2018-12-08,80204,1,30313,L 98-106,*,24:00,2,9,0.222,0,1,0.0,2,8,0.25,0.222,0,0,,1,5,6,3,0,0,2,1,4,0.4,-8
27,190,27,2018-12-10,80204,0,38103,W 105-99,*,36:10,6,10,0.6,1,4,0.25,5,6,0.833,0.65,3,4,0.75,0,0,0,5,4,2,1,3,16,17.7,8
28,191,28,2018-12-14,80204,0,73102,W 109-98,*,33:00,8,15,0.533,0,4,0.0,8,11,0.727,0.533,3,3,1.0,2,7,9,1,0,0,5,3,19,9.7,4
29,192,29,2018-12-16,80204,0,51300,W 95-86,*,37:57,7,16,0.438,3,8,0.375,4,8,0.5,0.531,2,2,1.0,1,4,5,4,1,1,1,0,19,16.0,13
30,193,30,2018-12-18,80204,0,75219,W 126-118,*,39:26,10,18,0.556,1,4,0.25,9,14,0.643,0.583,1,2,0.5,1,6,7,15,1,1,5,2,22,21.9,-6
31,194,31,2018-12-22,80204,1,90015,L 111-132,*,30:54,6,16,0.375,1,6,0.167,5,10,0.5,0.406,5,5,1.0,0,3,3,2,1,0,1,0,18,11.5,-17
32,195,32,2018-12-26,80204,1,78219,L 103-111,*,27:01,4,19,0.211,1,8,0.125,3,11,0.273,0.237,0,0,,1,4,5,2,1,0,2,3,9,-1.6,-20
33,196,33,2018-12-28,80204,0,78219,W 102-99,*,40:08,13,27,0.481,4,7,0.571,9,20,0.45,0.556,1,2,0.5,4,2,6,3,1,0,4,0,31,19.4,0
34,197,34,2018-12-29,80204,1,85004,W 122-118,*,39:35,16,24,0.667,9,11,0.818,7,13,0.538,0.854,5,6,0.833,0,6,6,8,0,1,5,2,46,37.5,6
35,198,35,2019-01-01,80204,0,10001,W 115-108,*,32:21,4,12,0.333,0,3,0.0,4,9,0.444,0.333,0,0,,1,2,3,5,1,1,1,1,8,6.3,4
36,199,36,2019-01-03,80204,1,95814,W 117-113,*,37:25,12,24,0.5,6,12,0.5,6,12,0.5,0.625,6,10,0.6,3,4,7,6,1,0,4,3,36,25.7,10
37,200,37,2019-01-05,80204,0,28202,W 123-110,*,31:42,3,13,0.231,2,4,0.5,1,9,0.111,0.308,0,0,,0,6,6,7,0,0,2,2,8,4.0,9
38,201,38,2019-01-07,80204,1,77002,L 113-125,*,29:10,5,13,0.385,0,3,0.0,5,10,0.5,0.385,3,4,0.75,1,1,2,4,0,0,3,3,13,5.1,-24
39,202,39,2019-01-08,80204,1,33132,W 103-99,*,31:34,7,19,0.368,1,4,0.25,6,15,0.4,0.395,3,4,0.75,2,2,4,6,0,1,1,4,18,11.4,4
