Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
32,471,34,2024-01-05,2114,0,84101,W 126-97,*,24:38,6,12,0.5,5,8,0.625,1,4,0.25,0.708,13,14,0.929,0,9,9,5,1,1,1,1,30,30.1,34
33,472,35,2024-01-06,2114,1,46225,W 118-101,*,37:36,14,23,0.609,8,13,0.615,6,10,0.6,0.783,2,4,0.5,1,12,13,6,1,0,4,4,38,30.6,19
34,473,37,2024-01-10,2114,0,55403,W 127-120 (OT),*,42:15,13,26,0.5,6,11,0.545,7,15,0.467,0.615,13,14,0.929,0,4,4,2,1,0,1,3,45,33.0,3
35,474,38,2024-01-11,2114,1,53203,L 102-135,*,15:45,2,6,0.333,0,1,0.0,2,5,0.4,0.333,3,4,0.75,0,1,1,3,0,0,1,2,7,3.8,-31
36,475,39,2024-01-13,2114,0,77002,W 145-113,*,29:30,9,17,0.529,4,7,0.571,5,10,0.5,0.647,5,7,0.714,1,7,8,5,1,1,2,2,27,23.1,9
37,476,40,2024-01-15,2114,1,51300,W 105-96,*,37:28,7,19,0.368,1,6,0.167,6,13,0.462,0.395,4,4,1.0,0,14,14,6,1,1,1,2,19,16.8,8
38,477,41,2024-01-17,2114,0,78219,W 117-98,*,31:33,9,21,0.429,3,8,0.375,6,13,0.462,0.5,3,5,0.6,0,5,5,2,0,0,2,2,24,12.2,11
39,478,42,2024-01-19,2114,0,80204,L 100-102,*,38:55,9,24,0.375,1,8,0.125,8,16,0.5,0.396,3,3,1.0,2,6,8,5,1,0,0,1,22,16.1,6
40,479,43,2024-01-21,2114,1,77002,W 116-107,*,35:07,4,17,0.235,1,6,0.167,3,11,0.273,0.265,9,12,0.75,1,6,7,3,1,0,2,0,18,10.1,-4
41,480,44,2024-01-22,2114,1,75219,W 119-110,*,40:55,11,21,0.524,2,8,0.25,9,13,0.692,0.571,15,19,0.789,0,11,11,5,3,2,0,4,39,36.7,27
42,481,45,2024-01-25,2114,1,33132,W 143-110,*,32:12,7,15,0.467,3,7,0.429,4,8,0.5,0.567,9,10,0.9,1,7,8,4,0,0,1,1,26,22.1,22
43,482,46,2024-01-27,2114,0,90015,L 96-115,*,30:02,8,18,0.444,2,4,0.5,6,14,0.429,0.5,3,3,1.0,3,8,11,1,0,1,3,2,21,13.7,-32
44,483,47,2024-01-29,2114,0,70112,W 118-112,*,37:30,10,18,0.556,2,8,0.25,8,10,0.8,0.611,6,7,0.857,0,10,10,8,3,1,7,1,28,23.9,9
45,484,48,2024-01-30,2114,0,46225,W 129-124,*,38:50,12,19,0.632,4,9,0.444,8,10,0.8,0.737,2,3,0.667,0,7,7,7,1,2,2,2,30,27.7,-4
46,485,49,2024-02-01,2114,0,90015,L 105-114,*,36:37,8,21,0.381,5,10,0.5,3,11,0.273,0.5,2,2,1.0,2,5,7,3,1,1,2,3,23,15.0,-12
47,486,50,2024-02-04,2114,0,38103,W 131-91,*,30:48,12,22,0.545,6,12,0.5,6,10,0.6,0.682,4,4,1.0,1,7,8,7,1,0,2,1,34,29.7,27
48,487,51,2024-02-07,2114,0,30313,W 125-117,*,35:36,8,21,0.381,2,13,0.154,6,8,0.75,0.429,2,2,1.0,0,9,9,7,1,0,3,3,20,12.9,3
49,488,52,2024-02-09,2114,0,20004,W 133-129,*,38:04,12,22,0.545,3,10,0.3,9,12,0.75,0.614,8,9,0.889,1,9,10,8,1,2,2,1,35,33.0,9
50,489,53,2024-02-11,2114,1,33132,W 110-106,*,38:41,11,20,0.55,2,6,0.333,9,14,0.643,0.6,2,2,1.0,1,9,10,9,0,2,1,1,26,26.1,5
51,490,54,2024-02-13,2114,1,11217,W 118-110,*,38:59,14,26,0.538,5,11,0.455,9,15,0.6,0.635,8,8,1.0,0,14,14,5,2,1,2,3,41,35.6,21
52,491,55,2024-02-14,2114,0,11217,W 136-86,*,28:23,7,16,0.438,2,7,0.286,5,9,0.556,0.5,4,5,0.8,1,6,7,9,0,0,1,0,20,19.0,27
53,492,56,2024-02-22,2114,1,60612,W 129-112,*,34:55,8,17,0.471,5,10,0.5,3,7,0.429,0.618,4,6,0.667,0,7,7,5,3,0,3,3,25,19.9,13
54,493,57,2024-02-24,2114,1,10001,W 116-102,*,43:22,7,15,0.467,2,8,0.25,5,7,0.714,0.533,3,4,0.75,1,5,6,6,2,1,4,3,19,14.8,15
55,494,58,2024-02-27,2114,0,19148,W 117-99,*,34:45,9,20,0.45,1,7,0.143,8,13,0.615,0.475,10,11,0.909,0,11,11,8,0,1,1,1,29,26.4,27
56,495,59,2024-03-01,2114,0,75219,W 138-110,*,37:10,10,19,0.526,5,9,0.556,5,10,0.5,0.658,7,7,1.0,0,8,8,3,0,0,4,2,32,22.4,17
57,496,60,2024-03-03,2114,0,94607,W 140-88,*,25:12,9,13,0.692,4,5,0.8,5,8,0.625,0.846,5,5,1.0,0,3,3,5,1,1,0,2,27,26.8,40
58,497,61,2024-03-05,2114,1,44115,L 104-105,*,37:31,8,21,0.381,5,9,0.556,3,12,0.25,0.5,5,6,0.833,2,11,13,2,0,0,2,3,26,17.0,-7
59,498,62,2024-03-07,2114,1,80204,L 109-115,*,38:39,5,13,0.385,2,5,0.4,3,8,0.375,0.462,3,4,0.75,1,3,4,8,2,0,5,4,15,10.1,-2
60,499,63,2024-03-09,2114,1,85004,W 117-107,*,42:16,11,28,0.393,5,9,0.556,6,19,0.316,0.482,2,2,1.0,3,7,10,7,1,0,4,0,29,19.9,4
61,500,64,2024-03-11,2114,1,97227,W 121-99,*,35:40,9,23,0.391,2,8,0.25,7,15,0.467,0.435,6,8,0.75,0,5,5,8,0,0,1,0,26,18.8,16
62,501,65,2024-03-12,2114,1,84101,W 123-107,*,34:00,13,25,0.52,4,10,0.4,9,15,0.6,0.6,8,8,1.0,2,4,6,2,0,1,3,3,38,26.2,8
63,502,66,2024-03-14,2114,0,85004,W 127-112,*,33:05,10,18,0.556,4,8,0.5,6,10,0.6,0.667,2,3,0.667,1,4,5,5,0,0,3,3,26,18.2,26
64,503,67,2024-03-17,2114,1,20004,W 130-104,*,26:36,8,17,0.471,6,12,0.5,2,5,0.4,0.647,8,10,0.8,0,6,6,6,3,1,2,1,30,27.8,26
