Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2024-11-16,DAL,,SAS,W 110-93,*,28,6,16,.375,3,9,.333,1,3,.333,2,4,6,6,2,0,4,4,16,9.6,15
2024-11-14,DAL,@,UTA,L 113-115,*,38,13,25,.520,4,13,.308,7,7,1.000,1,6,7,9,1,0,3,0,37,31.5,-8
2024-11-12,DAL,@,GSW,L 117-120,*,41,13,27,.481,2,10,.200,3,3,1.000,0,8,8,6,3,0,5,2,31,21.1,2
2024-11-10,DAL,@,DEN,L 120-122,*,41,9,19,.474,2,8,.250,4,6,.667,1,8,9,9,1,1,5,2,24,18.8,5
2024-11-08,DAL,,PHO,L 113-114,*,42,11,25,.440,5,12,.417,3,3,1.000,0,7,7,7,1,0,3,3,30,20.7,-4
