Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2020-21,23,BOS,NBA,SG,66,4,19.2,2.8,6.3,.440,1.5,3.8,.411,1.2,2.6,.482,.562,0.6,0.7,.889,0.5,1.9,2.4,1.8,0.6,0.1,0.8,1.6,7.7,
2021-22,24,BOS,NBA,PG,71,2,14.1,2.3,5.3,.429,1.4,3.5,.412,0.8,1.8,.461,.564,0.3,0.3,1.000,0.5,1.4,1.9,2.0,0.4,0.1,0.6,0.9,6.2,
2022-23,25,BOS,NBA,PG,48,3,13.4,2.1,5.1,.412,1.2,3.2,.364,0.9,1.9,.495,.527,0.3,0.3,.750,0.5,1.3,1.8,1.3,0.3,0.0,0.8,0.8,5.6,
2023-24,26,BOS,NBA,PG,82,5,22.3,3.6,7.7,.468,1.8,4.7,.385,1.8,3.1,.593,.583,0.6,0.7,.821,0.9,2.4,3.2,3.4,0.5,0.1,0.7,1.3,9.6,
2024-25,27,BOS,NBA,SG,13,0,28.5,5.3,11.2,.476,3.8,9.0,.427,1.5,2.2,.679,.648,1.8,2.0,.885,0.8,1.9,2.8,2.9,1.2,0.1,1.3,1.8,16.2,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,280,14,18.2,2.9,6.5,.447,1.6,4.1,.398,1.3,2.4,.530,.572,0.5,0.6,.866,0.6,1.8,2.4,2.3,0.5,0.1,0.8,1.2,7.9,
