Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2024-11-15,PHO,@,OKC,L 83-99,*,34,2,10,.200,0,0,,8,8,1.000,1,3,4,4,1,1,4,2,12,7.1,-29
2024-11-13,PHO,@,SAC,L 104-127,*,31,6,16,.375,1,4,.250,5,6,.833,2,1,3,5,2,0,3,0,18,13.0,-16
2024-11-12,PHO,@,UTA,W 120-112,*,34,11,20,.550,5,9,.556,4,6,.667,1,1,2,4,2,2,0,0,31,27.8,2
2024-11-10,PHO,,SAC,L 118-127 (OT),*,43,9,22,.409,3,10,.300,2,2,1.000,0,1,1,12,2,0,2,2,23,19.1,-9
2024-11-08,PHO,@,DAL,W 114-113,*,35,5,13,.385,1,8,.125,2,2,1.000,2,4,6,12,0,0,0,2,13,16.1,-17
