Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2024-11-13,CLE,@,PHI,W 114-106,*,34,9,21,.429,5,13,.385,0,0,,2,11,13,9,2,0,0,1,23,24.5,13
2024-11-11,CLE,@,CHI,W 119-113,*,35,12,26,.462,7,16,.438,5,6,.833,1,7,8,2,4,0,0,2,36,29.6,7
2024-11-09,CLE,,BRK,W 105-100,*,35,5,12,.417,4,6,.667,8,8,1.000,0,1,1,1,1,0,1,2,22,15.8,4
2024-11-08,CLE,,GSW,W 136-117,*,26,4,13,.308,2,7,.286,2,2,1.000,0,5,5,4,0,0,4,4,12,3.2,7
2024-11-06,CLE,@,NOP,W 131-122,*,34,10,20,.500,3,9,.333,6,6,1.000,0,4,4,3,1,1,2,1,29,21.6,4
