Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2024-11-15,CHI,@,CLE,L 126-144,*,37,4,16,.250,0,3,.000,0,0,,0,4,4,9,0,1,1,5,8,3.6,-5
2024-11-13,CHI,@,NYK,W 124-123,*,36,12,17,.706,4,8,.500,3,6,.500,1,6,7,8,2,1,6,1,31,27.1,21
2024-11-11,CHI,,CLE,L 113-119,*,36,12,20,.600,2,7,.286,0,1,.000,0,6,6,3,0,0,2,2,26,17.5,16
2024-11-09,CHI,@,ATL,W 125-113,*,32,7,12,.583,1,5,.200,3,4,.750,0,2,2,7,1,0,3,1,18,15.1,5
2024-11-01,CHI,@,BRK,L 112-120,*,34,7,17,.412,5,9,.556,2,2,1.000,0,1,1,2,1,0,2,1,21,12.2,-7
