Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2024-11-13,BOS,@,BRK,W 139-114,*,36,8,19,.421,2,5,.400,6,9,.667,2,10,12,4,1,0,0,2,24,20.1,27
2024-11-12,BOS,,ATL,L 116-117,*,36,14,22,.636,3,6,.500,6,10,.600,2,3,5,2,1,0,6,3,37,23.1,0
2024-11-10,BOS,@,MIL,W 113-107,*,37,4,13,.308,1,5,.200,5,6,.833,0,5,5,4,0,0,1,3,14,8.2,6
2024-11-01,BOS,@,CHO,W 124-109,*,37,8,19,.421,0,6,.000,9,10,.900,3,3,6,5,1,1,1,3,25,20.5,11
2024-10-30,BOS,@,IND,L 132-135 (OT),*,43,11,30,.367,1,11,.091,2,4,.500,0,6,6,5,2,2,3,4,25,11.7,-13
