Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2024-11-13,SAS,,WAS,W 139-130,*,32,18,29,.621,8,16,.500,6,9,.667,1,5,6,2,1,3,1,3,50,40.2,13
2024-11-11,SAS,,SAC,W 116-96,*,34,13,22,.591,6,12,.500,2,2,1.000,4,10,14,6,1,3,3,1,34,33.5,24
2024-11-09,SAS,,UTA,L 110-111,*,33,8,15,.533,6,9,.667,2,2,1.000,3,13,16,0,0,7,6,3,24,20.4,4
2024-11-07,SAS,,POR,W 118-105,*,32,4,13,.308,2,6,.333,2,3,.667,2,6,8,2,4,3,4,0,12,10.8,-7
2024-11-06,SAS,@,HOU,L 100-127,*,25,6,14,.429,1,6,.167,2,2,1.000,1,5,6,0,1,3,4,0,15,8.9,-18
