Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2024-11-16,LAL,@,NOP,W 104-99,*,37,8,19,.421,2,7,.286,3,5,.600,4,3,7,5,1,0,6,1,21,11.9,1
2024-11-15,LAL,@,SAS,W 120-115,*,38,6,12,.500,1,4,.250,2,4,.500,1,15,16,12,1,0,7,0,15,15.8,3
2024-11-13,LAL,,MEM,W 128-123,*,37,13,22,.591,4,7,.571,5,8,.625,1,11,12,14,1,0,6,2,35,31.6,3
2024-11-10,LAL,,TOR,W 123-103,*,35,6,14,.429,0,3,.000,7,7,1.000,2,8,10,16,1,0,3,0,19,24.6,13
2024-11-08,LAL,,PHI,W 116-106,*,34,9,14,.643,2,4,.500,1,1,1.000,0,12,12,13,0,3,2,0,21,27.6,12
