Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2024-11-15,MIN,@,SAC,W 130-126 (OT),*,42,14,27,.519,6,14,.429,2,2,1.000,1,4,5,2,0,0,2,4,36,22.4,16
2024-11-13,MIN,@,POR,L 98-106,*,40,10,25,.400,0,9,.000,4,4,1.000,0,4,4,4,4,1,3,2,24,15.4,-1
2024-11-12,MIN,@,POR,L 108-122,*,37,8,19,.421,4,10,.400,6,6,1.000,0,0,0,3,2,1,1,2,26,18.9,-20
2024-11-10,MIN,,MIA,L 94-95,*,37,8,24,.333,4,14,.286,2,3,.667,1,4,5,6,2,0,6,3,22,8.9,2
2024-11-08,MIN,,POR,W 127-102,*,30,12,21,.571,9,15,.600,4,5,.800,0,6,6,5,1,1,6,2,37,26.9,29
