Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2023-24,20,SAS,NBA,C,71,71,29.7,7.8,16.7,.465,1.8,5.5,.325,6.0,11.2,.534,.519,4.1,5.2,.796,2.3,8.4,10.6,3.9,1.2,3.6,3.7,2.2,21.4,ROY-1DPOY-2
2024-25,21,SAS,NBA,PF,12,12,31.3,8.0,17.0,.471,2.8,8.3,.343,5.2,8.8,.590,.554,3.4,3.9,.872,2.1,8.1,10.2,2.7,1.3,3.8,3.4,2.0,22.3,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,83,83,29.9,7.8,16.7,.465,2.0,5.9,.329,5.8,10.8,.541,.524,4.0,5.0,.804,2.2,8.3,10.6,3.7,1.3,3.6,3.6,2.1,21.6,
