Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2024-11-16,BOS,,TOR,W 126-123 (OT),,24,2,8,.250,2,7,.286,0,0,,0,0,0,1,0,0,0,2,6,1.1,6
2024-11-13,BOS,@,BRK,W 139-114,,36,8,13,.615,5,9,.556,2,4,.500,2,4,6,8,2,1,1,3,23,25.0,14
2024-11-12,BOS,,ATL,L 116-117,,25,2,8,.250,2,8,.250,0,0,,0,1,1,2,3,0,1,2,6,4.1,-9
2024-11-10,BOS,@,MIL,W 113-107,,23,6,10,.600,5,8,.625,1,1,1.000,1,0,1,3,0,0,3,1,18,12.8,-8
2024-11-08,BOS,,BRK,W 108-104 (OT),,34,6,11,.545,3,7,.429,5,5,1.000,0,1,1,0,1,0,1,2,20,14.2,11
