Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2024-11-15,DEN,@,NOP,L 94-101,*,43,6,16,.375,2,8,.250,2,2,1.000,0,6,6,8,2,0,0,1,16,16.2,0
2024-11-10,DEN,,DAL,W 122-120,*,38,7,17,.412,2,6,.333,2,5,.400,0,1,1,6,0,0,2,3,18,9.0,15
2024-11-08,DEN,,MIA,W 135-122,*,35,9,17,.529,4,10,.400,6,6,1.000,0,4,4,6,0,0,4,0,28,21.1,28
2024-11-01,DEN,@,MIN,L 116-119,*,22,2,7,.286,0,3,.000,2,2,1.000,0,2,2,3,1,0,0,0,6,5.6,8
2024-10-29,DEN,@,BRK,W 144-139 (OT),*,37,8,19,.421,2,7,.286,6,8,.750,0,3,3,3,0,0,1,3,24,13.9,3
