Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2024-11-15,NYK,,BRK,W 124-122,*,34,12,20,.600,3,8,.375,10,12,.833,0,3,3,7,0,0,3,4,37,28.2,-1
2024-11-13,NYK,,CHI,L 123-124,*,34,9,20,.450,3,9,.333,3,5,.600,1,2,3,8,0,0,2,3,24,16.5,-13
2024-11-12,NYK,@,PHI,W 111-99,*,35,5,15,.333,0,4,.000,8,8,1.000,0,3,3,5,1,0,6,1,18,8.5,7
2024-11-10,NYK,@,IND,L 121-132,*,41,11,17,.647,1,2,.500,10,12,.833,0,6,6,10,0,0,3,4,33,28.9,-8
2024-11-08,NYK,,MIL,W 116-94,*,32,6,14,.429,0,5,.000,3,4,.750,1,1,2,9,1,0,0,2,15,14.7,28
