Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2019-20,20,MIA,NBA,SG,55,8,27.4,4.9,11.5,.428,2.1,5.4,.389,2.8,6.1,.462,.520,1.6,1.8,.870,0.3,3.8,4.1,2.2,0.6,0.2,1.6,1.4,13.5,
2020-21,21,MIA,NBA,SG,54,15,30.3,5.7,12.9,.439,2.0,5.5,.360,3.7,7.4,.498,.516,1.7,2.2,.803,0.5,4.5,5.0,3.4,0.6,0.3,1.9,1.3,15.1,
2021-22,22,MIA,NBA,SG,66,10,32.6,7.6,17.0,.447,2.7,6.7,.399,4.9,10.3,.477,.525,2.9,3.3,.868,0.5,4.5,5.0,4.0,0.7,0.1,2.6,1.4,20.7,6MOY-1
2022-23,23,MIA,NBA,SG,67,67,34.9,7.3,16.6,.439,3.0,8.0,.378,4.2,8.5,.497,.531,2.5,2.7,.934,0.4,5.0,5.4,4.2,0.8,0.2,2.4,1.5,20.1,
2023-24,24,MIA,NBA,SG,42,40,33.5,7.7,17.5,.441,3.1,7.9,.396,4.6,9.6,.478,.531,2.3,2.6,.856,0.5,4.8,5.3,4.5,0.7,0.1,2.2,1.5,20.8,
2024-25,25,MIA,NBA,SG,10,10,33.5,8.7,17.1,.509,4.6,9.6,.479,4.1,7.5,.547,.643,2.9,3.5,.829,0.2,5.0,5.2,5.3,0.7,0.2,2.6,2.5,24.9,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,294,150,31.9,6.7,15.2,.442,2.6,6.8,.390,4.1,8.4,.485,.530,2.3,2.6,.870,0.4,4.5,4.9,3.7,0.7,0.2,2.2,1.5,18.4,
