Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2024-11-15,IND,,MIA,L 111-124,*,29,7,14,.500,4,9,.444,0,0,,1,1,2,8,1,0,1,1,18,17.2,-25
2024-11-13,IND,@,ORL,L 90-94,*,40,3,14,.214,2,8,.250,1,1,1.000,0,1,1,11,0,0,4,1,9,4.0,5
2024-11-10,IND,,NYK,W 132-121,*,35,11,18,.611,4,10,.400,9,11,.818,0,2,2,14,2,0,2,1,35,36.0,12
2024-11-08,IND,@,CHO,L 83-103,*,34,2,11,.182,0,4,.000,2,2,1.000,1,6,7,9,1,1,2,1,6,7.2,-21
2024-11-06,IND,,ORL,W 118-111,*,37,6,11,.545,3,5,.600,2,2,1.000,0,3,3,4,1,0,1,4,17,13.8,6
