Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2024-11-16,NOP,,LAL,L 99-104,*,38,11,23,.478,3,5,.600,7,9,.778,1,3,4,8,3,1,7,3,32,22.2,0
2024-11-15,NOP,,DEN,W 101-94,*,37,12,26,.462,3,9,.333,2,2,1.000,0,9,9,7,0,1,2,1,29,21.5,18
2024-11-13,NOP,@,OKC,L 88-106,*,35,7,18,.389,4,8,.500,0,0,,2,4,6,6,1,0,8,2,18,7.2,-17
2024-11-11,NOP,,BRK,L 105-107,*,35,10,24,.417,2,9,.222,2,2,1.000,1,4,5,9,1,0,4,2,24,15.6,-3
2024-11-08,NOP,@,ORL,L 88-115,*,26,4,12,.333,1,4,.250,2,2,1.000,1,4,5,5,0,0,6,3,11,2.4,-20
