Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2018-19,20,ATL,NBA,PG,81,81,30.9,6.5,15.5,.418,1.9,6.0,.324,4.6,9.6,.477,.480,4.2,5.1,.829,0.8,2.9,3.7,8.1,0.9,0.2,3.8,1.7,19.1,ROY-2
2019-20,21,ATL,NBA,PG,60,60,35.3,9.1,20.8,.437,3.4,9.5,.361,5.7,11.4,.501,.519,8.0,9.3,.860,0.5,3.7,4.3,9.3,1.1,0.1,4.8,1.7,29.6,AS
2020-21,22,ATL,NBA,PG,63,63,33.7,7.7,17.7,.438,2.2,6.3,.343,5.6,11.3,.491,.499,7.7,8.7,.886,0.6,3.3,3.9,9.4,0.8,0.2,4.1,1.8,25.3,
2021-22,23,ATL,NBA,PG,76,76,34.9,9.4,20.3,.460,3.1,8.0,.382,6.3,12.3,.512,.536,6.6,7.3,.904,0.7,3.1,3.7,9.7,0.9,0.1,4.0,1.7,28.4,ASNBA3
2022-23,24,ATL,NBA,PG,73,73,34.8,8.2,19.0,.429,2.1,6.3,.335,6.1,12.7,.476,.485,7.8,8.8,.886,0.8,2.2,3.0,10.2,1.1,0.1,4.1,1.4,26.2,
2023-24,25,ATL,NBA,PG,54,54,36.0,8.0,18.7,.430,3.2,8.7,.373,4.8,10.0,.479,.516,6.4,7.5,.855,0.4,2.3,2.8,10.8,1.3,0.2,4.4,2.0,25.7,AS
2024-25,26,ATL,NBA,PG,11,11,36.5,7.3,18.6,.390,3.1,9.3,.333,4.2,9.4,.447,.473,6.3,7.1,.885,1.0,3.2,4.2,11.5,1.3,0.2,4.5,1.9,23.9,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,418,418,34.2,8.1,18.6,.435,2.6,7.4,.354,5.5,11.2,.489,.506,6.7,7.6,.873,0.7,2.9,3.6,9.6,1.0,0.2,4.2,1.7,25.5,
