Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2024-11-16,CHO,,MIL,W 115-114,*,36,7,20,.350,1,7,.143,11,11,1.000,2,7,9,6,0,0,2,4,26,18.9,12
2024-11-12,CHO,@,ORL,L 89-114,*,35,13,27,.481,6,14,.429,3,3,1.000,1,5,6,7,0,0,3,3,35,24.2,-12
2024-11-10,CHO,@,PHI,L 105-107 (OT),*,41,13,30,.433,6,18,.333,6,7,.857,1,3,4,8,2,0,6,3,38,23.8,3
2024-11-08,CHO,,IND,W 103-83,*,33,10,29,.345,5,18,.278,6,8,.750,1,6,7,6,1,1,1,2,31,20.5,-8
2024-11-06,CHO,,DET,W 108-107,*,32,10,23,.435,5,12,.417,0,0,,2,4,6,8,2,0,2,3,25,19.9,-2
